[Hz],FFT[dBm]
1.08032227E+05,-9.99054E+01
1.08642578E+05,-9.83054E+01
1.09252930E+05,-9.47454E+01
1.09863281E+05,-9.54054E+01
1.10473633E+05,-1.01685E+02
1.11083984E+05,-9.71654E+01
1.11694336E+05,-1.16225E+02
1.12304688E+05,-8.70454E+01
1.12915039E+05,-8.25654E+01
1.13525391E+05,-9.11654E+01
1.14135742E+05,-1.00765E+02
1.14746094E+05,-9.85854E+01
1.15356445E+05,-1.01665E+02
1.15966797E+05,-1.04525E+02
1.16577148E+05,-9.76654E+01
1.17187500E+05,-9.72054E+01
1.17797852E+05,-9.98454E+01
1.18408203E+05,-9.61254E+01
1.19018555E+05,-9.76454E+01
1.19628906E+05,-9.71454E+01
1.20239258E+05,-9.68054E+01
1.20849609E+05,-9.64654E+01
1.21459961E+05,-9.34454E+01
1.22070312E+05,-9.50854E+01
1.22680664E+05,-9.20654E+01
1.23291016E+05,-8.44054E+01
1.23901367E+05,-8.52854E+01
1.24511719E+05,-8.57854E+01
1.25122070E+05,-8.84254E+01
1.25732422E+05,-9.61054E+01
1.26342773E+05,-1.02765E+02
1.26953125E+05,-1.03805E+02
1.27563477E+05,-9.94054E+01
1.28173828E+05,-1.02285E+02
1.28784180E+05,-1.05285E+02
1.29394531E+05,-1.05425E+02
1.30004883E+05,-1.01005E+02
1.30615234E+05,-9.73654E+01
1.31225586E+05,-1.01545E+02
1.31835938E+05,-1.02505E+02
1.32446289E+05,-9.62254E+01
1.33056641E+05,-8.93454E+01
1.33666992E+05,-8.81254E+01
1.34277344E+05,-9.28654E+01
1.34887695E+05,-9.20854E+01
1.35498047E+05,-9.36654E+01
1.36108398E+05,-9.80654E+01
1.36718750E+05,-9.74854E+01
1.37329102E+05,-9.80454E+01
1.37939453E+05,-1.02285E+02
1.38549805E+05,-1.05025E+02
1.39160156E+05,-9.88654E+01
1.39770508E+05,-1.09265E+02
1.40380859E+05,-9.81854E+01
1.40991211E+05,-1.02685E+02
1.41601562E+05,-1.03845E+02
1.42211914E+05,-9.49854E+01
1.42822266E+05,-9.69254E+01
1.43432617E+05,-9.79854E+01
1.44042969E+05,-9.47854E+01
1.44653320E+05,-9.38454E+01
1.45263672E+05,-9.23054E+01
1.45874023E+05,-9.40054E+01
1.46484375E+05,-1.03305E+02
1.47094727E+05,-9.47854E+01
1.47705078E+05,-9.06454E+01
1.48315430E+05,-9.49054E+01
1.48925781E+05,-1.05385E+02
1.49536133E+05,-1.07925E+02
1.50146484E+05,-1.02625E+02
1.50756836E+05,-9.72454E+01
1.51367188E+05,-9.95654E+01
1.51977539E+05,-9.37654E+01
1.52587891E+05,-9.33054E+01
1.53198242E+05,-9.65054E+01
1.53808594E+05,-9.40054E+01
1.54418945E+05,-9.26454E+01
1.55029297E+05,-9.75454E+01
1.55639648E+05,-1.03405E+02
1.56250000E+05,-1.00785E+02
1.56860352E+05,-1.14185E+02
1.57470703E+05,-1.05005E+02
1.58081055E+05,-1.05665E+02
1.58691406E+05,-1.01545E+02
1.59301758E+05,-9.65054E+01
1.59912109E+05,-9.78054E+01
1.60522461E+05,-1.03805E+02
1.61132812E+05,-9.80854E+01
1.61743164E+05,-1.06525E+02
1.62353516E+05,-1.01865E+02
1.62963867E+05,-1.02385E+02
1.63574219E+05,-9.50654E+01
1.64184570E+05,-9.68654E+01
1.64794922E+05,-1.00505E+02
1.65405273E+05,-1.07905E+02
1.66015625E+05,-1.07525E+02
1.66625977E+05,-9.55254E+01
1.67236328E+05,-9.79654E+01
1.67846680E+05,-9.52854E+01
1.68457031E+05,-1.01885E+02
1.69067383E+05,-9.62454E+01
1.69677734E+05,-9.65054E+01
1.70288086E+05,-9.89454E+01
1.70898438E+05,-9.75854E+01
1.71508789E+05,-1.06705E+02
1.72119141E+05,-9.77054E+01
1.72729492E+05,-9.73854E+01
1.73339844E+05,-1.05905E+02
1.73950195E+05,-1.01945E+02
1.74560547E+05,-1.04465E+02
1.75170898E+05,-1.01805E+02
1.75781250E+05,-1.03585E+02
1.76391602E+05,-9.37054E+01
1.77001953E+05,-9.97654E+01
1.77612305E+05,-9.93454E+01
1.78222656E+05,-1.06685E+02
1.78833008E+05,-1.02805E+02
1.79443359E+05,-1.00325E+02
1.80053711E+05,-1.12965E+02
1.80664062E+05,-1.04525E+02
1.81274414E+05,-1.03845E+02
1.81884766E+05,-1.06925E+02
1.82495117E+05,-9.93454E+01
1.83105469E+05,-1.03925E+02
1.83715820E+05,-1.03885E+02
1.84326172E+05,-9.79854E+01
1.84936523E+05,-9.68654E+01
1.85546875E+05,-1.01625E+02
1.86157227E+05,-1.03465E+02
1.86767578E+05,-1.02565E+02
1.87377930E+05,-9.76854E+01
1.87988281E+05,-1.05125E+02
1.88598633E+05,-9.80254E+01
1.89208984E+05,-1.02005E+02
1.89819336E+05,-9.29854E+01
1.90429688E+05,-9.11654E+01
1.91040039E+05,-9.24254E+01
1.91650391E+05,-9.47054E+01
1.92260742E+05,-9.84654E+01
1.92871094E+05,-1.06805E+02
1.93481445E+05,-9.50454E+01
1.94091797E+05,-9.58654E+01
1.94702148E+05,-9.59454E+01
1.95312500E+05,-9.67254E+01
1.95922852E+05,-9.83054E+01
1.96533203E+05,-9.00254E+01
1.97143555E+05,-7.96854E+01
1.97753906E+05,-7.75454E+01
1.98364258E+05,-8.70254E+01
1.98974609E+05,-1.02225E+02
1.99584961E+05,-1.03765E+02
2.00195312E+05,-9.87054E+01
2.00805664E+05,-1.16805E+02
2.01416016E+05,-1.07345E+02
2.02026367E+05,-1.00125E+02
2.02636719E+05,-9.61654E+01
2.03247070E+05,-1.01005E+02
2.03857422E+05,-9.73054E+01
2.04467773E+05,-9.86654E+01
2.05078125E+05,-9.47654E+01
2.05688477E+05,-9.26454E+01
2.06298828E+05,-1.03805E+02
2.06909180E+05,-9.99054E+01
2.07519531E+05,-9.76454E+01
2.08129883E+05,-1.04705E+02
2.08740234E+05,-9.51454E+01
2.09350586E+05,-9.04054E+01
2.09960938E+05,-9.65254E+01
2.10571289E+05,-1.01305E+02
2.11181641E+05,-9.77254E+01
2.11791992E+05,-1.01125E+02
2.12402344E+05,-1.03185E+02
2.13012695E+05,-9.63854E+01
2.13623047E+05,-9.70454E+01
2.14233398E+05,-9.99654E+01
2.14843750E+05,-1.05005E+02
2.15454102E+05,-9.98054E+01
2.16064453E+05,-9.83454E+01
2.16674805E+05,-1.06565E+02
2.17285156E+05,-1.02145E+02
2.17895508E+05,-9.55654E+01
2.18505859E+05,-9.01054E+01
2.19116211E+05,-9.01654E+01
2.19726562E+05,-9.37654E+01
2.20336914E+05,-9.26254E+01
2.20947266E+05,-9.22854E+01
2.21557617E+05,-1.03965E+02
2.22167969E+05,-1.08465E+02
2.22778320E+05,-1.03845E+02
2.23388672E+05,-9.29854E+01
2.23999023E+05,-9.01854E+01
2.24609375E+05,-9.17054E+01
2.25219727E+05,-9.00654E+01
2.25830078E+05,-9.20054E+01
2.26440430E+05,-1.02685E+02
2.27050781E+05,-1.00365E+02
2.27661133E+05,-9.59654E+01
2.28271484E+05,-9.84654E+01
2.28881836E+05,-1.14645E+02
2.29492188E+05,-1.02165E+02
2.30102539E+05,-1.00865E+02
2.30712891E+05,-9.82254E+01
2.31323242E+05,-1.00585E+02
2.31933594E+05,-9.86854E+01
2.32543945E+05,-9.26454E+01
2.33154297E+05,-9.64054E+01
2.33764648E+05,-1.02905E+02
2.34375000E+05,-9.94854E+01
2.34985352E+05,-9.42854E+01
2.35595703E+05,-9.58454E+01
