[Hz],FFT[dBm]
0.00000000E+00,-4.75254E+01
3.05175781E+03,-5.05854E+01
6.10351562E+03,-9.03254E+01
9.15527344E+03,-7.86654E+01
1.22070312E+04,-7.96454E+01
1.52587891E+04,-9.35454E+01
1.83105469E+04,-9.53054E+01
2.13623047E+04,-9.21254E+01
2.44140625E+04,-8.37254E+01
2.74658203E+04,-8.58254E+01
3.05175781E+04,-9.59054E+01
3.35693359E+04,-9.19854E+01
3.66210938E+04,-9.07854E+01
3.96728516E+04,-9.24854E+01
4.27246094E+04,-9.38054E+01
4.57763672E+04,-9.57654E+01
4.88281250E+04,-9.48254E+01
5.18798828E+04,-8.90854E+01
5.49316406E+04,-7.80254E+01
5.79833984E+04,-7.72854E+01
6.10351562E+04,-9.16654E+01
6.40869141E+04,-9.46654E+01
6.71386719E+04,-1.01045E+02
7.01904297E+04,-8.46654E+01
7.32421875E+04,-7.08854E+01
7.62939453E+04,-7.02854E+01
7.93457031E+04,-8.43854E+01
8.23974609E+04,-8.96054E+01
8.54492188E+04,-1.00245E+02
8.85009766E+04,-9.31654E+01
9.15527344E+04,-1.02165E+02
9.46044922E+04,-9.24454E+01
9.76562500E+04,-9.29854E+01
1.00708008E+05,-8.97854E+01
1.03759766E+05,-8.19454E+01
1.06811523E+05,-8.66654E+01
1.09863281E+05,-9.41854E+01
1.12915039E+05,-8.13054E+01
1.15966797E+05,-8.24254E+01
1.19018555E+05,-8.88654E+01
1.22070312E+05,-6.47254E+01
1.25122070E+05,-5.96054E+01
1.28173828E+05,-6.64254E+01
1.31225586E+05,-9.25254E+01
1.34277344E+05,-8.96454E+01
1.37329102E+05,-9.54454E+01
1.40380859E+05,-1.02685E+02
1.43432617E+05,-9.54054E+01
1.46484375E+05,-9.33654E+01
1.49536133E+05,-9.63454E+01
1.52587891E+05,-1.00225E+02
1.55639648E+05,-1.03885E+02
1.58691406E+05,-9.72054E+01
1.61743164E+05,-1.01225E+02
1.64794922E+05,-9.04454E+01
1.67846680E+05,-7.90054E+01
1.70898438E+05,-6.10054E+01
1.73950195E+05,-5.01254E+01
1.77001953E+05,-5.22054E+01
1.80053711E+05,-7.07254E+01
1.83105469E+05,-8.58254E+01
1.86157227E+05,-8.73454E+01
1.89208984E+05,-9.42254E+01
1.92260742E+05,-9.45254E+01
1.95312500E+05,-1.04705E+02
1.98364258E+05,-8.19054E+01
2.01416016E+05,-7.71254E+01
2.04467773E+05,-8.38854E+01
2.07519531E+05,-8.61654E+01
2.10571289E+05,-9.35054E+01
2.13623047E+05,-8.54854E+01
2.16674805E+05,-7.62854E+01
2.19726562E+05,-6.34054E+01
2.22778320E+05,-4.39254E+01
2.25830078E+05,-4.15254E+01
2.28881836E+05,-5.17854E+01
2.31933594E+05,-7.27654E+01
2.34985352E+05,-8.44854E+01
2.38037109E+05,-8.72654E+01
2.41088867E+05,-9.62054E+01
2.44140625E+05,-1.06845E+02
2.47192383E+05,-9.48054E+01
2.50244141E+05,-9.25054E+01
2.53295898E+05,-1.02805E+02
2.56347656E+05,-9.35454E+01
2.59399414E+05,-9.29854E+01
2.62451172E+05,-9.31654E+01
2.65502930E+05,-8.30654E+01
2.68554688E+05,-7.21654E+01
2.71606445E+05,-4.10654E+01
2.74658203E+05,-3.38454E+01
2.77709961E+05,-3.87454E+01
2.80761719E+05,-6.86254E+01
2.83813477E+05,-8.25254E+01
2.86865234E+05,-8.86254E+01
2.89916992E+05,-9.02254E+01
2.92968750E+05,-8.73054E+01
2.96020508E+05,-9.29054E+01
2.99072266E+05,-9.39654E+01
3.02124023E+05,-8.75454E+01
3.05175781E+05,-8.59054E+01
3.08227539E+05,-8.23654E+01
3.11279297E+05,-7.59654E+01
3.14331055E+05,-7.05054E+01
3.17382812E+05,-6.02254E+01
3.20434570E+05,-4.29654E+01
3.23486328E+05,-2.95454E+01
3.26538086E+05,-2.98654E+01
3.29589844E+05,-4.44254E+01
3.32641602E+05,-6.09654E+01
3.35693359E+05,-7.01254E+01
3.38745117E+05,-7.62854E+01
3.41796875E+05,-8.35854E+01
