[s],CH1[V]
9.00100E-06,1.430E+00
9.00200E-06,1.446E+00
9.00300E-06,1.454E+00
9.00400E-06,1.454E+00
9.00500E-06,1.462E+00
9.00600E-06,1.462E+00
9.00700E-06,1.478E+00
9.00800E-06,1.478E+00
9.00900E-06,1.478E+00
9.01000E-06,1.486E+00
9.01100E-06,1.494E+00
9.01200E-06,1.494E+00
9.01300E-06,1.502E+00
9.01400E-06,1.502E+00
9.01500E-06,1.502E+00
9.01600E-06,1.502E+00
9.01700E-06,1.510E+00
9.01800E-06,1.518E+00
9.01900E-06,1.526E+00
9.02000E-06,1.526E+00
9.02100E-06,1.534E+00
9.02200E-06,1.534E+00
9.02300E-06,1.542E+00
9.02400E-06,1.542E+00
9.02500E-06,1.542E+00
9.02600E-06,1.542E+00
9.02700E-06,1.550E+00
9.02800E-06,1.550E+00
9.02900E-06,1.550E+00
9.03000E-06,1.550E+00
9.03100E-06,1.566E+00
9.03200E-06,1.558E+00
9.03300E-06,1.574E+00
9.03400E-06,1.574E+00
9.03500E-06,1.574E+00
9.03600E-06,1.574E+00
9.03700E-06,1.574E+00
9.03800E-06,1.574E+00
9.03900E-06,1.582E+00
9.04000E-06,1.574E+00
9.04100E-06,1.574E+00
9.04200E-06,1.582E+00
9.04300E-06,1.582E+00
9.04400E-06,1.598E+00
9.04500E-06,1.590E+00
9.04600E-06,1.590E+00
9.04700E-06,1.590E+00
9.04800E-06,1.590E+00
9.04900E-06,1.582E+00
9.05000E-06,1.590E+00
9.05100E-06,1.590E+00
9.05200E-06,1.590E+00
9.05300E-06,1.582E+00
9.05400E-06,1.582E+00
9.05500E-06,1.590E+00
9.05600E-06,1.590E+00
9.05700E-06,1.590E+00
9.05800E-06,1.582E+00
9.05900E-06,1.574E+00
9.06000E-06,1.582E+00
9.06100E-06,1.574E+00
9.06200E-06,1.574E+00
9.06300E-06,1.574E+00
9.06400E-06,1.566E+00
9.06500E-06,1.566E+00
9.06600E-06,1.566E+00
9.06700E-06,1.566E+00
9.06800E-06,1.558E+00
9.06900E-06,1.550E+00
9.07000E-06,1.550E+00
9.07100E-06,1.550E+00
9.07200E-06,1.550E+00
9.07300E-06,1.550E+00
9.07400E-06,1.550E+00
9.07500E-06,1.542E+00
9.07600E-06,1.534E+00
9.07700E-06,1.534E+00
9.07800E-06,1.526E+00
9.07900E-06,1.526E+00
9.08000E-06,1.518E+00
9.08100E-06,1.518E+00
9.08200E-06,1.518E+00
9.08300E-06,1.502E+00
9.08400E-06,1.502E+00
9.08500E-06,1.502E+00
9.08600E-06,1.494E+00
9.08700E-06,1.494E+00
9.08800E-06,1.486E+00
9.08900E-06,1.478E+00
9.09000E-06,1.470E+00
9.09100E-06,1.470E+00
9.09200E-06,1.470E+00
9.09300E-06,1.462E+00
9.09400E-06,1.454E+00
9.09500E-06,1.454E+00
9.09600E-06,1.438E+00
9.09700E-06,1.438E+00
9.09800E-06,1.430E+00
9.09900E-06,1.430E+00
9.10000E-06,1.422E+00
9.10100E-06,1.414E+00
9.10200E-06,1.414E+00
9.10300E-06,1.414E+00
9.10400E-06,1.398E+00
9.10500E-06,1.390E+00
9.10600E-06,1.382E+00
9.10700E-06,1.374E+00
9.10800E-06,1.374E+00
9.10900E-06,1.366E+00
9.11000E-06,1.358E+00
9.11100E-06,1.358E+00
9.11200E-06,1.350E+00
9.11300E-06,1.342E+00
9.11400E-06,1.342E+00
9.11500E-06,1.334E+00
9.11600E-06,1.334E+00
9.11700E-06,1.318E+00
9.11800E-06,1.318E+00
9.11900E-06,1.302E+00
9.12000E-06,1.302E+00
9.12100E-06,1.302E+00
9.12200E-06,1.294E+00
9.12300E-06,1.286E+00
