Model,TBS2074B
Firmware Version,v1.31.16

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.0002,,,
Sample Interval,1.6e-06,,,
Filter Frequency,2e+08,,,
Record Length,2000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,10,10,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,5,0.02,0.5,1
Label,,,,
TIME,CH1,CH2,CH3,CH4
-6.560e-04,-0.246875,0.101966,-2.08398,0.0545312
-6.544e-04,-0.249218,0.101797,-2.08102,0.0507812
-6.528e-04,-0.250781,0.101728,-2.07633,0.0528124
-6.512e-04,-0.248437,0.101503,-2.07,0.0531249
-6.496e-04,-0.238281,0.101466,-2.07,0.0315624
-6.480e-04,-0.24375,0.101306,-2.06992,0.0520312
-6.464e-04,-0.240625,0.101197,-2.06992,0.0551562
-6.448e-04,-0.250781,0.101025,-2.06992,0.0546874
-6.432e-04,-0.238281,0.101012,-2.06977,0.0526562
-6.416e-04,-0.255468,0.100928,-2.06664,0.0532812
-6.400e-04,-0.257812,0.100856,-2.06609,0.0542187
-6.384e-04,-0.26875,0.100647,-2.06414,0.0521874
-6.368e-04,-0.3,0.100553,-2.06992,0.0549999
-6.352e-04,-0.242968,0.1004,-2.06383,0.0599999
-6.336e-04,-0.247656,0.100241,-2.06117,0.0529687
-6.320e-04,-0.242187,0.1002,-2.06695,0.0535937
-6.304e-04,-0.239062,0.100141,-2.05,0.0507812
-6.288e-04,-0.248437,0.0999625,-2.04992,0.0599999
-6.272e-04,-0.299218,0.0998219,-2.04992,0.0554687
-6.256e-04,-0.251562,0.0996875,-2.05,0.0506249
-6.240e-04,-0.244531,0.0995656,-2.04992,0.0524999
-6.224e-04,-0.249218,0.09945,-2.04992,0.0532812
-6.208e-04,-0.240625,0.0994031,-2.04961,0.0599999
-6.192e-04,-0.240625,0.0992469,-2.04656,0.0517187
-6.176e-04,-0.250781,0.0991219,-2.04578,0.0599999
-6.160e-04,-0.246093,0.0989469,-2.04367,0.0532812
-6.144e-04,-0.25,0.0987375,-2.04188,0.0564062
-6.128e-04,-0.299218,0.0986531,-2.03867,0.0520312
-6.112e-04,-0.245312,0.0985844,-2.03336,0.0545312
-6.096e-04,-0.239843,0.098475,-2.03,0.0521874
-6.080e-04,-0.254687,0.0982219,-2.02992,0.0535937
-6.064e-04,-0.261718,0.0980875,-2.02992,0.0518749
-6.048e-04,-0.248437,0.0980156,-2.02992,0.0520312
-6.032e-04,-0.24375,0.0978281,-2.02992,0.0553124
-6.016e-04,-0.299218,0.0977031,-2.02992,0.0492187
-6.000e-04,-0.249218,0.0975687,-2.02859,0.0523437
-5.984e-04,-0.252343,0.0973812,-2.02695,0.0514062
-5.968e-04,-0.3,0.097275,-2.02367,0.0543749
-5.952e-04,-0.25,0.0972,-2.02133,0.0518749
-5.936e-04,-0.238281,0.0970719,-2.01773,0.0528124
-5.920e-04,-0.25,0.0969594,-2.01094,0.0501562
-5.904e-04,-0.242968,0.0967562,-2.00992,0.0507812
-5.888e-04,-0.246093,0.0965094,-2.00992,0.0548437
-5.872e-04,-0.246093,0.0964,-2.00992,0.0562499
-5.856e-04,-0.255468,0.0963531,-2.00992,0.0548437
-5.840e-04,-0.252343,0.0962875,-2.00992,0.0545312
-5.824e-04,-0.299218,0.0961,-2.00711,0.0510937
-5.808e-04,-0.25625,0.0959594,-2.00609,0.0599999
-5.792e-04,-0.232812,0.0957781,-2.00547,0.0503124
-5.776e-04,-0.24375,0.0957125,-2.00563,0.0510937
-5.760e-04,-0.244531,0.0955937,-2.00992,0.0551562
-5.744e-04,-0.24375,0.0954875,-2.00266,0.0337499
-5.728e-04,-0.234375,0.0953687,-1.99625,0.0537499
-5.712e-04,-0.246093,0.0953437,-1.99195,0.0529687
-5.696e-04,-0.299218,0.0951031,-1.99,0.0601562
-5.680e-04,-0.251562,0.0950406,-1.98992,0.0537499
-5.664e-04,-0.251562,0.0947781,-1.98992,0.0549999
-5.648e-04,-0.241406,0.0947281,-1.98992,0.0542187
-5.632e-04,-0.241406,0.0946562,-1.98992,0.0556249
-5.616e-04,-0.238281,0.0944375,-1.98828,0.0531249
-5.600e-04,-0.245312,0.0943625,-1.98563,0.0521874
-5.584e-04,-0.244531,0.0941406,-1.98313,0.0545312
-5.568e-04,-0.233593,0.0939531,-1.98109,0.0515624
-5.552e-04,-0.247656,0.0939094,-1.97023,0.0539062
-5.536e-04,-0.233593,0.0938156,-1.96992,0.0599999
-5.520e-04,-0.242968,0.0937312,-1.96992,0.0529687
-5.504e-04,-0.247656,0.0936187,-1.96992,0.0540624
-5.488e-04,-0.251562,0.0934687,-1.96992,0.0549999
-5.472e-04,-0.242968,0.0931969,-1.96992,0.0567187
-5.456e-04,-0.238281,0.0932,-1.96992,0.0556249
-5.440e-04,-0.244531,0.0931125,-1.96984,0.0520312
