Model,TBS2074B
Firmware Version,v1.31.16

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.0002,,,
Sample Interval,1.6e-06,,,
Filter Frequency,2e+08,,,
Record Length,2000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,10,10,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,5,0.02,0.5,1
Label,,,,
TIME,CH1,CH2,CH3,CH4
-5.072e-04,-0.299218,0.0918125,-1.92992,0.0567187
-5.056e-04,-0.258593,0.0916562,-1.92992,0.0599999
-5.040e-04,-0.257812,0.091625,-1.92664,0.0599999
-5.024e-04,-0.239062,0.0916,-1.92203,0.0599999
-5.008e-04,-0.251562,0.0911937,-1.92789,0.0601562
-4.992e-04,-0.254687,0.0910906,-1.9107,0.0599999
-4.976e-04,-0.246875,0.0909187,-1.91,0.0571874
-4.960e-04,-0.240625,0.0908187,-1.91,0.0599999
-4.944e-04,-0.236718,0.0908094,-1.91,0.0599999
-4.928e-04,-0.25625,0.0904531,-1.90992,0.0598437
-4.912e-04,-0.244531,0.0901656,-1.90992,0.0599999
-4.896e-04,-0.246093,0.0900437,-1.90992,0.0599999
-4.880e-04,-0.246093,0.0900406,-1.90992,0.0599999
-4.864e-04,-0.23125,0.0900031,-1.9057,0.0599999
-4.848e-04,-0.232031,0.0895469,-1.90219,0.0599999
-4.832e-04,-0.244531,0.0893812,-1.89758,0.0599999
-4.816e-04,-0.227343,0.0892062,-1.89266,0.0599999
-4.800e-04,-0.229687,0.0892156,-1.88992,0.0599999
-4.784e-04,-0.229687,0.0890031,-1.88992,0.0587499
-4.768e-04,-0.241406,0.0887,-1.88992,0.0599999
-4.752e-04,-0.246093,0.0886156,-1.88992,0.0564062
-4.736e-04,-0.242187,0.0884531,-1.88992,0.0598437
-4.720e-04,-0.229687,0.0884281,-1.88992,0.0567187
-4.704e-04,-0.24375,0.0882187,-1.88906,0.0554687
-4.688e-04,-0.225781,0.0878469,-1.88719,0.0599999
-4.672e-04,-0.249218,0.0877625,-1.88414,0.0599999
-4.656e-04,-0.242187,0.0876437,-1.87898,0.0599999
-4.640e-04,-0.245312,0.0876156,-1.87,0.0581249
-4.624e-04,-0.234375,0.0872344,-1.87,0.0599999
-4.608e-04,-0.229687,0.0870437,-1.87,0.0589062
-4.592e-04,-0.298437,0.0868625,-1.87,0.0596874
-4.576e-04,-0.223437,0.0868187,-1.87,0.0599999
-4.560e-04,-0.227343,0.0868125,-1.86992,0.0599999
-4.544e-04,-0.232812,0.0862906,-1.86992,0.0599999
-4.528e-04,-0.225,0.0860937,-1.86961,0.0599999
-4.512e-04,-0.239843,0.0860031,-1.86766,0.0599999
-4.496e-04,-0.229687,0.0860031,-1.86484,0.0593749
-4.480e-04,-0.296093,0.0856125,-1.85992,0.0599999
