Model,TBS2074B
Firmware Version,v1.31.16

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.0002,,,
Sample Interval,1.6e-06,,,
Filter Frequency,2e+08,,,
Record Length,2000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,10,10,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,5,0.01,0.5,1
Label,,,,
TIME,CH1,CH2,CH3,CH4
-6.560e-04,-2.9,0.0728,-2.0825,0.0526562
-6.544e-04,-2.9,0.0728,-2.07742,0.0503124
-6.528e-04,-2.9,0.0728,-2.07,0.0518749
-6.512e-04,-2.89922,0.0728,-2.07,0.0521874
-6.496e-04,-2.9,0.0728,-2.07,0.0599999
-6.480e-04,-2.89922,0.0728,-2.06992,0.0523437
-6.464e-04,-2.9,0.0728,-2.06992,0.0540624
-6.448e-04,-2.89922,0.0728,-2.06992,0.0517187
-6.432e-04,-2.9,0.0728,-2.06703,0.0545312
-6.416e-04,-2.9,0.0728,-2.06625,0.0545312
-6.400e-04,-2.9,0.0728,-2.06516,0.0510937
-6.384e-04,-2.9,0.0728,-2.06563,0.0540624
-6.368e-04,-2.89922,0.0728,-2.06477,0.0515624
-6.352e-04,-2.9,0.0728,-2.0632,0.0524999
-6.336e-04,-2.89922,0.0728,-2.05781,0.0318749
-6.320e-04,-2.9,0.0728,-2.05086,0.0517187
-6.304e-04,-2.9,0.0728,-2.05,0.0599999
-6.288e-04,-2.89922,0.0728,-2.05,0.0557812
-6.272e-04,-2.9,0.0728,-2.04992,0.0503124
-6.256e-04,-2.9,0.0728,-2.04992,0.0510937
-6.240e-04,-2.89922,0.0728,-2.04992,0.0492187
-6.224e-04,-2.9,0.0728,-2.04992,0.0553124
-6.208e-04,-2.9,0.0728,-2.04828,0.0599999
-6.192e-04,-2.89922,0.0728,-2.04672,0.0504687
-6.176e-04,-2.89922,0.0728,-2.04453,0.0534374
-6.160e-04,-2.89922,0.0728,-2.04297,0.0517187
-6.144e-04,-2.89922,0.0728,-2.03969,0.0599999
-6.128e-04,-2.89922,0.0728,-2.03422,0.0495312
-6.112e-04,-2.89922,0.0728,-2.03008,0.0507812
-6.096e-04,-2.89922,0.0728,-2.02992,0.0503124
-6.080e-04,-2.89922,0.0728,-2.03,0.0510937
-6.064e-04,-2.89922,0.0728,-2.03,0.0599999
-6.048e-04,-2.89922,0.0728,-2.02992,0.0528124
-6.032e-04,-2.89922,0.0728,-2.02992,0.0521874
-6.016e-04,-2.89922,0.0728,-2.02961,0.0517187
-6.000e-04,-2.89922,0.0728,-2.02664,0.0501562
-5.984e-04,-2.89922,0.0728,-2.02477,0.0521874
-5.968e-04,-2.89922,0.0728,-2.02109,0.0507812
-5.952e-04,-2.89922,0.0728,-2.01,0.0523437
-5.936e-04,-2.89922,0.0728,-2.01,0.0514062
-5.920e-04,-2.89922,0.0728,-2.01,0.0529687
-5.904e-04,-2.89922,0.0728,-2.01,0.0504687
-5.888e-04,-2.89922,0.0728,-2.01,0.0545312
-5.872e-04,-2.9,0.0728,-2.00992,0.0498437
-5.856e-04,-2.89922,0.0728,-2.00992,0.0503124
-5.840e-04,-2.89922,0.0728,-2.00992,0.0520312
-5.824e-04,-2.9,0.0728,-2.00719,0.0506249
-5.808e-04,-2.89922,0.0728,-2.00648,0.0543749
-5.792e-04,-2.9,0.0728,-2.00578,0.0506249
-5.776e-04,-2.89922,0.0728,-2.00477,0.0515624
-5.760e-04,-2.89922,0.0728,-2.00234,0.0514062
-5.744e-04,-2.89922,0.0728,-1.99781,0.0518749
-5.728e-04,-2.89922,0.0728,-1.99125,0.0528124
-5.712e-04,-2.9,0.0728,-1.98992,0.0548437
-5.696e-04,-2.89922,0.0728,-1.99,0.0524999
-5.680e-04,-2.89922,0.0728,-1.98992,0.0517187
-5.664e-04,-2.89922,0.0728,-1.99,0.0499999
-5.648e-04,-2.89922,0.0728,-1.99,0.0543749
-5.632e-04,-2.9,0.0728,-1.98906,0.0509374
-5.616e-04,-2.89922,0.0728,-1.98703,0.0521874
-5.600e-04,-2.89922,0.0728,-1.985,0.0539062
-5.584e-04,-2.89922,0.0728,-1.98133,0.0535937
-5.568e-04,-2.89922,0.0728,-1.97813,0.0515624
-5.552e-04,-2.89922,0.0728,-1.97547,0.0521874
-5.536e-04,-2.89922,0.0728,-1.97,0.0520312
-5.520e-04,-2.89922,0.0728,-1.97,0.0496874
-5.504e-04,-2.89922,0.0728,-1.97,0.0501562
-5.488e-04,-2.89922,0.0728,-1.97,0.0549999
-5.472e-04,-2.89922,0.0728,-1.96992,0.0564062
-5.456e-04,-2.89453,0.0728,-1.97,0.0498437
-5.440e-04,-2.88828,0.0728,-1.96758,0.0528124
-5.424e-04,-2.88281,0.0728,-1.96641,0.0526562
-5.408e-04,-2.89922,0.0728,-1.96523,0.0524999
-5.392e-04,-2.86953,0.0728,-1.96219,0.0506249
