Model,MSO4104B
Firmware Version,3.20

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,4e-07
Horizontal Delay,-4.5e-08
Sample Interval,2e-10
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.005
Vertical Position,-3.34
,
,
,
Label,
TIME,CH1
-7.217200e-06,0.0005
-7.217000e-06,0.0009
-7.216800e-06,0.0007
-7.216600e-06,-0.0001
-7.216400e-06,-0.0001
-7.216200e-06,0.0001
-7.216000e-06,0.0011
-7.215800e-06,0.0011
-7.215600e-06,0.0005
-7.215400e-06,-0.0001
-7.215200e-06,-0.0001
-7.215000e-06,0.0007
-7.214800e-06,0.0011
-7.214600e-06,0.0011
-7.214400e-06,-0.0001
-7.214200e-06,-0.0007
-7.214000e-06,-0.0005
-7.213800e-06,0.0009
-7.213600e-06,0.0015
-7.213400e-06,0.0005
-7.213200e-06,-0.0001
-7.213000e-06,-0.0003
-7.212800e-06,0.0001
-7.212600e-06,0.0015
-7.212400e-06,0.0013
-7.212200e-06,0.0007
-7.212000e-06,-0.0005
-7.211800e-06,-0.0001
-7.211600e-06,0.0005
-7.211400e-06,0.0009
-7.211200e-06,0.0007
-7.211000e-06,0.0009
-7.210800e-06,0.0001
-7.210600e-06,0.0001
-7.210400e-06,0.0001
-7.210200e-06,0.0007
-7.210000e-06,0.0009
-7.209800e-06,0.0007
-7.209600e-06,0.0003
-7.209400e-06,0.0003
-7.209200e-06,0.0001
-7.209000e-06,0.0007
-7.208800e-06,0.0013
-7.208600e-06,0.0009
-7.208400e-06,0.0005
-7.208200e-06,0.0001
-7.208000e-06,-0.0001
-7.207800e-06,0.0003
-7.207600e-06,0.0013
-7.207400e-06,0.0019
-7.207200e-06,0.0009
-7.207000e-06,-0.0003
-7.206800e-06,-0.0015
-7.206600e-06,-0.0005
-7.206400e-06,0.0007
-7.206200e-06,0.0021
-7.206000e-06,0.0013
-7.205800e-06,-0.0009
-7.205600e-06,-0.0015
-7.205400e-06,-0.0001
-7.205200e-06,0.0021
-7.205000e-06,0.0027
-7.204800e-06,0.0011
-7.204600e-06,-0.0005
-7.204400e-06,-0.0013
-7.204200e-06,-0.0011
-7.204000e-06,0.0009
-7.203800e-06,0.0021
-7.203600e-06,0.0017
-7.203400e-06,0.0001
-7.203200e-06,-0.0011
-7.203000e-06,-0.0009
-7.202800e-06,0.0009
-7.202600e-06,0.0021
-7.202400e-06,0.0017
-7.202200e-06,0.0007
-7.202000e-06,-0.0007
-7.201800e-06,-0.0009
-7.201600e-06,-0.0007
-7.201400e-06,0.0009
-7.201200e-06,0.0019
-7.201000e-06,0.0017
-7.200800e-06,0.0001
-7.200600e-06,-0.0017
-7.200400e-06,-0.0013
-7.200200e-06,0.0007
-7.200000e-06,0.0025
-7.199800e-06,0.0025
-7.199600e-06,0.0003
-7.199400e-06,-0.0017
-7.199200e-06,-0.0019
-7.199000e-06,-0.0001
-7.198800e-06,0.0025
-7.198600e-06,0.0025
-7.198400e-06,0.0011
-7.198200e-06,-0.0015
-7.198000e-06,-0.0023
-7.197800e-06,-0.0001
-7.197600e-06,0.0021
-7.197400e-06,0.0027
-7.197200e-06,0.0007
-7.197000e-06,-0.0011
-7.196800e-06,-0.0019
-7.196600e-06,-0.0003
-7.196400e-06,0.0013
-7.196200e-06,0.0027
-7.196000e-06,0.0019
-7.195800e-06,0.0001
-7.195600e-06,-0.0007
-7.195400e-06,-0.0009
-7.195200e-06,0.0005
-7.195000e-06,0.0021
-7.194800e-06,0.0027
-7.194600e-06,0.0017
-7.194400e-06,-0.0005
-7.194200e-06,-0.0015
-7.194000e-06,-0.0005
-7.193800e-06,0.0015
-7.193600e-06,0.0025
-7.193400e-06,0.0017
-7.193200e-06,-0.0011
-7.193000e-06,-0.0021
-7.192800e-06,-0.0015
-7.192600e-06,0.0009
-7.192400e-06,0.0027
-7.192200e-06,0.0017
-7.192000e-06,-0.0005
-7.191800e-06,-0.0019
-7.191600e-06,-0.0019
-7.191400e-06,0.0009
-7.191200e-06,0.0025
-7.191000e-06,0.0023
-7.190800e-06,0.0001
-7.190600e-06,-0.0013
-7.190400e-06,-0.0015
-7.190200e-06,0.0003
-7.190000e-06,0.0013
-7.189800e-06,0.0019
-7.189600e-06,0.0015
-7.189400e-06,-0.0001
-7.189200e-06,-0.0007
-7.189000e-06,-0.0001
-7.188800e-06,0.0013
-7.188600e-06,0.0023
-7.188400e-06,0.0015
-7.188200e-06,0.0003
-7.188000e-06,-0.0011
-7.187800e-06,-0.0005
-7.187600e-06,0.0007
-7.187400e-06,0.0021
-7.187200e-06,0.0023
-7.187000e-06,0.0007
-7.186800e-06,-0.0013
-7.186600e-06,-0.0015
-7.186400e-06,-0.0005
-7.186200e-06,0.0023
-7.186000e-06,0.0025
-7.185800e-06,0.0009
-7.185600e-06,-0.0007
-7.185400e-06,-0.0011
-7.185200e-06,0.0001
-7.185000e-06,0.0015
-7.184800e-06,0.0025
-7.184600e-06,0.0011
-7.184400e-06,-0.0009
-7.184200e-06,-0.0009
-7.184000e-06,0.0005
-7.183800e-06,0.0017
-7.183600e-06,0.0015
-7.183400e-06,0.0005
-7.183200e-06,-0.0005
-7.183000e-06,-0.0007
-7.182800e-06,0.0001
-7.182600e-06,0.0015
-7.182400e-06,0.0015
-7.182200e-06,0.0005
-7.182000e-06,-0.0003
-7.181800e-06,-0.0009
-7.181600e-06,0.0001
-7.181400e-06,0.0009
-7.181200e-06,0.0007
-7.181000e-06,0.0013
-7.180800e-06,0.0007
-7.180600e-06,-0.0003
-7.180400e-06,-0.0009
-7.180200e-06,-0.0001
-7.180000e-06,0.0015
-7.179800e-06,0.0021
-7.179600e-06,0.0013
-7.179400e-06,-0.0003
-7.179200e-06,-0.0009
-7.179000e-06,0.0005
-7.178800e-06,0.0019
-7.178600e-06,0.0023
-7.178400e-06,0.0009
-7.178200e-06,-0.0009
-7.178000e-06,-0.0015
-7.177800e-06,-0.0001
-7.177600e-06,0.0017
-7.177400e-06,0.0021
-7.177200e-06,0.0007
-7.177000e-06,-0.0009
-7.176800e-06,-0.0015
-7.176600e-06,0.0005
-7.176400e-06,0.0023
-7.176200e-06,0.0027
-7.176000e-06,0.0005
-7.175800e-06,-0.0011
-7.175600e-06,-0.0007
-7.175400e-06,0.0007
-7.175200e-06,0.0019
-7.175000e-06,0.0017
-7.174800e-06,0.0007
-7.174600e-06,-0.0001
-7.174400e-06,-0.0005
-7.174200e-06,-0.0001
-7.174000e-06,0.0005
-7.173800e-06,0.0011
-7.173600e-06,0.0009
-7.173400e-06,0.0007
-7.173200e-06,-0.0007
-7.173000e-06,-0.0009
-7.172800e-06,0.0001
-7.172600e-06,0.0017
-7.172400e-06,0.0027
-7.172200e-06,0.0017
-7.172000e-06,-0.0007
-7.171800e-06,-0.0013
-7.171600e-06,-0.0007
-7.171400e-06,0.0011
-7.171200e-06,0.0031
-7.171000e-06,0.0023
-7.170800e-06,-0.0007
-7.170600e-06,-0.0023
-7.170400e-06,-0.0015
-7.170200e-06,0.0017
-7.170000e-06,0.0029
-7.169800e-06,0.0019
-7.169600e-06,-0.0007
-7.169400e-06,-0.0015
-7.169200e-06,-0.0007
-7.169000e-06,0.0015
-7.168800e-06,0.0027
-7.168600e-06,0.0021
-7.168400e-06,0.0001
-7.168200e-06,-0.0017
-7.168000e-06,-0.0011
-7.167800e-06,0.0015
-7.167600e-06,0.0015
-7.167400e-06,0.0015
-7.167200e-06,0.0007
-7.167000e-06,-0.0001
-7.166800e-06,-0.0005
-7.166600e-06,-0.0001
-7.166400e-06,0.0009
-7.166200e-06,0.0019
-7.166000e-06,0.0025
-7.165800e-06,0.0009
-7.165600e-06,-0.0011
-7.165400e-06,-0.0019
-7.165200e-06,-0.0001
-7.165000e-06,0.0023
-7.164800e-06,0.0029
-7.164600e-06,0.0015
-7.164400e-06,-0.0015
-7.164200e-06,-0.0021
-7.164000e-06,-0.0003
-7.163800e-06,0.0029
-7.163600e-06,0.0037
-7.163400e-06,0.0015
-7.163200e-06,-0.0015
-7.163000e-06,-0.0025
-7.162800e-06,-0.0005
-7.162600e-06,0.0027
-7.162400e-06,0.0035
-7.162200e-06,0.0013
-7.162000e-06,-0.0017
-7.161800e-06,-0.0019
-7.161600e-06,-0.0001
-7.161400e-06,0.0017
-7.161200e-06,0.0023
-7.161000e-06,0.0015
-7.160800e-06,0.0001
-7.160600e-06,-0.0009
-7.160400e-06,-0.0009
-7.160200e-06,0.0003
-7.160000e-06,0.0013
-7.159800e-06,0.0021
-7.159600e-06,0.0017
-7.159400e-06,0.0007
-7.159200e-06,-0.0009
-7.159000e-06,-0.0011
-7.158800e-06,0.0005
-7.158600e-06,0.0023
-7.158400e-06,0.0021
-7.158200e-06,0.0007
-7.158000e-06,-0.0019
-7.157800e-06,-0.0019
-7.157600e-06,0.0007
-7.157400e-06,0.0029
-7.157200e-06,0.0027
-7.157000e-06,0.0003
-7.156800e-06,-0.0017
-7.156600e-06,-0.0015
-7.156400e-06,0.0011
-7.156200e-06,0.0031
-7.156000e-06,0.0023
-7.155800e-06,0.0007
-7.155600e-06,-0.0009
-7.155400e-06,-0.0007
-7.155200e-06,0.0005
-7.155000e-06,0.0017
-7.154800e-06,0.0017
-7.154600e-06,0.0003
-7.154400e-06,-0.0001
-7.154200e-06,-0.0001
-7.154000e-06,0.0003
-7.153800e-06,0.0009
-7.153600e-06,0.0007
-7.153400e-06,0.0013
-7.153200e-06,0.0007
-7.153000e-06,-0.0003
-7.152800e-06,-0.0007
-7.152600e-06,-0.0003
-7.152400e-06,0.0011
-7.152200e-06,0.0019
-7.152000e-06,0.0015
-7.151800e-06,0.0001
-7.151600e-06,-0.0011
-7.151400e-06,-0.0013
-7.151200e-06,0.0005
-7.151000e-06,0.0027
-7.150800e-06,0.0025
-7.150600e-06,0.0001
-7.150400e-06,-0.0013
-7.150200e-06,-0.0007
-7.150000e-06,0.0013
-7.149800e-06,0.0019
-7.149600e-06,0.0019
-7.149400e-06,0.0001
-7.149200e-06,-0.0009
-7.149000e-06,-0.0001
-7.148800e-06,0.0011
-7.148600e-06,0.0023
-7.148400e-06,0.0011
-7.148200e-06,0.0001
-7.148000e-06,0.0003
-7.147800e-06,0.0007
-7.147600e-06,0.0005
-7.147400e-06,0.0009
-7.147200e-06,0.0005
-7.147000e-06,0.0011
-7.146800e-06,0.0009
-7.146600e-06,0.0003
-7.146400e-06,-0.0005
-7.146200e-06,-0.0003
-7.146000e-06,0.0007
-7.145800e-06,0.0017
-7.145600e-06,0.0021
-7.145400e-06,0.0005
-7.145200e-06,-0.0007
-7.145000e-06,-0.0001
-7.144800e-06,0.0007
-7.144600e-06,0.0017
-7.144400e-06,0.0017
-7.144200e-06,0.0005
-7.144000e-06,-0.0003
-7.143800e-06,-0.0001
-7.143600e-06,0.0007
-7.143400e-06,0.0013
-7.143200e-06,0.0009
-7.143000e-06,0.0003
-7.142800e-06,0.0003
-7.142600e-06,0.0005
-7.142400e-06,0.0009
-7.142200e-06,0.0009
-7.142000e-06,0.0001
-7.141800e-06,0.0005
-7.141600e-06,0.0011
-7.141400e-06,0.0009
-7.141200e-06,0.0001
-7.141000e-06,-0.0009
-7.140800e-06,-0.0009
-7.140600e-06,0.0007
-7.140400e-06,0.0013
-7.140200e-06,0.0011
-7.140000e-06,0.0001
-7.139800e-06,-0.0005
-7.139600e-06,-0.0003
-7.139400e-06,0.0013
-7.139200e-06,0.0019
-7.139000e-06,0.0015
-7.138800e-06,0.0003
-7.138600e-06,-0.0005
-7.138400e-06,-0.0003
-7.138200e-06,0.0005
-7.138000e-06,0.0011
-7.137800e-06,0.0021
-7.137600e-06,0.0007
-7.137400e-06,0.0003
-7.137200e-06,-0.0001
-7.137000e-06,0.0003
-7.136800e-06,0.0005
-7.136600e-06,0.0009
-7.136400e-06,0.0011
-7.136200e-06,0.0011
-7.136000e-06,0.0005
-7.135800e-06,-0.0001
-7.135600e-06,-0.0005
-7.135400e-06,0.0009
-7.135200e-06,0.0019
-7.135000e-06,0.0013
-7.134800e-06,0.0005
-7.134600e-06,-0.0007
-7.134400e-06,-0.0007
-7.134200e-06,0.0011
-7.134000e-06,0.0025
-7.133800e-06,0.0019
-7.133600e-06,-0.0001
-7.133400e-06,-0.0011
-7.133200e-06,-0.0013
-7.133000e-06,0.0005
-7.132800e-06,0.0021
-7.132600e-06,0.0021
-7.132400e-06,0.0005
-7.132200e-06,-0.0011
-7.132000e-06,-0.0007
-7.131800e-06,0.0005
-7.131600e-06,0.0017
-7.131400e-06,0.0021
-7.131200e-06,0.0013
-7.131000e-06,-0.0001
-7.130800e-06,-0.0007
-7.130600e-06,-0.0009
-7.130400e-06,-0.0003
-7.130200e-06,0.0015
-7.130000e-06,0.0019
-7.129800e-06,0.0011
-7.129600e-06,-0.0005
-7.129400e-06,-0.0013
-7.129200e-06,0.0001
-7.129000e-06,0.0017
-7.128800e-06,0.0025
-7.128600e-06,0.0019
-7.128400e-06,-0.0007
-7.128200e-06,-0.0023
-7.128000e-06,-0.0011
-7.127800e-06,0.0019
-7.127600e-06,0.0027
-7.127400e-06,0.0019
-7.127200e-06,-0.0011
-7.127000e-06,-0.0025
-7.126800e-06,-0.0017
-7.126600e-06,0.0011
-7.126400e-06,0.0031
-7.126200e-06,0.0023
-7.126000e-06,-0.0001
-7.125800e-06,-0.0011
-7.125600e-06,-0.0013
-7.125400e-06,0.0001
-7.125200e-06,0.0013
-7.125000e-06,0.0023
-7.124800e-06,0.0013
-7.124600e-06,0.0001
-7.124400e-06,-0.0009
-7.124200e-06,-0.0005
-7.124000e-06,0.0011
-7.123800e-06,0.0021
-7.123600e-06,0.0021
-7.123400e-06,0.0005
-7.123200e-06,-0.0009
-7.123000e-06,-0.0013
-7.122800e-06,0.0001
-7.122600e-06,0.0019
-7.122400e-06,0.0025
-7.122200e-06,0.0013
-7.122000e-06,-0.0007
-7.121800e-06,-0.0017
-7.121600e-06,-0.0001
-7.121400e-06,0.0019
-7.121200e-06,0.0027
-7.121000e-06,0.0017
-7.120800e-06,-0.0003
-7.120600e-06,-0.0017
-7.120400e-06,-0.0013
-7.120200e-06,0.0011
-7.120000e-06,0.0021
-7.119800e-06,0.0011
-7.119600e-06,-0.0003
-7.119400e-06,-0.0013
-7.119200e-06,-0.0005
-7.119000e-06,0.0013
-7.118800e-06,0.0019
-7.118600e-06,0.0015
-7.118400e-06,0.0007
-7.118200e-06,-0.0007
-7.118000e-06,-0.0005
-7.117800e-06,-0.0001
-7.117600e-06,0.0011
-7.117400e-06,0.0017
-7.117200e-06,0.0013
-7.117000e-06,0.0001
-7.116800e-06,-0.0011
-7.116600e-06,-0.0003
-7.116400e-06,0.0009
-7.116200e-06,0.0017
-7.116000e-06,0.0019
-7.115800e-06,0.0011
-7.115600e-06,-0.0007
-7.115400e-06,-0.0011
-7.115200e-06,-0.0001
-7.115000e-06,0.0017
-7.114800e-06,0.0023
-7.114600e-06,0.0011
-7.114400e-06,-0.0003
-7.114200e-06,-0.0011
-7.114000e-06,0.0001
-7.113800e-06,0.0015
-7.113600e-06,0.0019
-7.113400e-06,0.0009
-7.113200e-06,-0.0007
-7.113000e-06,-0.0009
-7.112800e-06,0.0001
-7.112600e-06,0.0015
-7.112400e-06,0.0015
-7.112200e-06,0.0009
-7.112000e-06,-0.0007
-7.111800e-06,-0.0003
-7.111600e-06,0.0005
-7.111400e-06,0.0011
-7.111200e-06,0.0013
-7.111000e-06,0.0005
-7.110800e-06,-0.0003
-7.110600e-06,0.0005
-7.110400e-06,0.0005
-7.110200e-06,0.0005
-7.110000e-06,0.0001
-7.109800e-06,0.0003
-7.109600e-06,0.0005
-7.109400e-06,0.0005
-7.109200e-06,0.0007
-7.109000e-06,0.0009
-7.108800e-06,0.0001
-7.108600e-06,0.0003
-7.108400e-06,0.0011
-7.108200e-06,0.0007
-7.108000e-06,0.0001
-7.107800e-06,0.0003
-7.107600e-06,0.0003
-7.107400e-06,0.0007
-7.107200e-06,0.0001
-7.107000e-06,0.0001
-7.106800e-06,0.0001
-7.106600e-06,0.0003
-7.106400e-06,0.0007
-7.106200e-06,0.0013
-7.106000e-06,0.0009
-7.105800e-06,-0.0001
-7.105600e-06,-0.0003
-7.105400e-06,0.0007
-7.105200e-06,0.0015
-7.105000e-06,0.0017
-7.104800e-06,0.0003
-7.104600e-06,-0.0003
-7.104400e-06,-0.0007
-7.104200e-06,0.0009
-7.104000e-06,0.0019
-7.103800e-06,0.0015
-7.103600e-06,-0.0003
-7.103400e-06,-0.0005
-7.103200e-06,-0.0005
-7.103000e-06,0.0007
-7.102800e-06,0.0013
-7.102600e-06,0.0015
-7.102400e-06,0.0009
-7.102200e-06,0.0003
-7.102000e-06,-0.0003
-7.101800e-06,0.0003
-7.101600e-06,0.0009
-7.101400e-06,0.0013
-7.101200e-06,0.0007
-7.101000e-06,0.0005
-7.100800e-06,-0.0005
-7.100600e-06,0.0001
-7.100400e-06,0.0005
-7.100200e-06,0.0013
-7.100000e-06,0.0021
-7.099800e-06,0.0013
-7.099600e-06,-0.0005
-7.099400e-06,-0.0013
-7.099200e-06,-0.0005
-7.099000e-06,0.0011
-7.098800e-06,0.0019
-7.098600e-06,0.0011
-7.098400e-06,-0.0007
-7.098200e-06,-0.0015
-7.098000e-06,0.0001
-7.097800e-06,0.0017
-7.097600e-06,0.0023
-7.097400e-06,0.0015
-7.097200e-06,0.0001
-7.097000e-06,-0.0011
-7.096800e-06,-0.0007
-7.096600e-06,0.0007
-7.096400e-06,0.0017
-7.096200e-06,0.0017
-7.096000e-06,0.0005
-7.095800e-06,-0.0005
-7.095600e-06,-0.0009
-7.095400e-06,0.0001
-7.095200e-06,0.0013
-7.095000e-06,0.0021
-7.094800e-06,0.0011
-7.094600e-06,0.0001
-7.094400e-06,-0.0003
-7.094200e-06,0.0001
-7.094000e-06,0.0009
-7.093800e-06,0.0019
-7.093600e-06,0.0019
-7.093400e-06,0.0007
-7.093200e-06,-0.0007
-7.093000e-06,-0.0013
-7.092800e-06,0.0001
-7.092600e-06,0.0015
-7.092400e-06,0.0023
-7.092200e-06,0.0015
-7.092000e-06,-0.0007
-7.091800e-06,-0.0015
-7.091600e-06,-0.0003
-7.091400e-06,0.0011
-7.091200e-06,0.0017
-7.091000e-06,0.0019
-7.090800e-06,0.0001
-7.090600e-06,-0.0007
-7.090400e-06,-0.0007
-7.090200e-06,0.0005
-7.090000e-06,0.0019
-7.089800e-06,0.0017
-7.089600e-06,0.0005
-7.089400e-06,-0.0005
-7.089200e-06,-0.0007
-7.089000e-06,0.0005
-7.088800e-06,0.0013
-7.088600e-06,0.0015
-7.088400e-06,0.0011
-7.088200e-06,0.0001
-7.088000e-06,-0.0007
-7.087800e-06,0.0001
-7.087600e-06,0.0013
-7.087400e-06,0.0025
-7.087200e-06,0.0013
-7.087000e-06,0.0001
-7.086800e-06,-0.0009
-7.086600e-06,-0.0007
-7.086400e-06,0.0003
-7.086200e-06,0.0015
-7.086000e-06,0.0015
-7.085800e-06,0.0013
-7.085600e-06,0.0001
-7.085400e-06,-0.0007
-7.085200e-06,-0.0001
-7.085000e-06,0.0009
-7.084800e-06,0.0011
-7.084600e-06,0.0017
-7.084400e-06,0.0009
-7.084200e-06,-0.0003
-7.084000e-06,-0.0005
-7.083800e-06,0.0003
-7.083600e-06,0.0011
-7.083400e-06,0.0015
-7.083200e-06,0.0013
-7.083000e-06,-0.0001
-7.082800e-06,-0.0011
-7.082600e-06,0.0001
-7.082400e-06,0.0011
-7.082200e-06,0.0015
-7.082000e-06,0.0009
-7.081800e-06,0.0003
-7.081600e-06,-0.0003
-7.081400e-06,-0.0001
-7.081200e-06,0.0005
-7.081000e-06,0.0013
-7.080800e-06,0.0015
-7.080600e-06,0.0011
-7.080400e-06,0.0005
-7.080200e-06,-0.0003
-7.080000e-06,0.0001
-7.079800e-06,0.0007
-7.079600e-06,0.0011
-7.079400e-06,0.0013
-7.079200e-06,0.0003
-7.079000e-06,-0.0003
-7.078800e-06,-0.0003
-7.078600e-06,0.0001
-7.078400e-06,0.0009
-7.078200e-06,0.0011
-7.078000e-06,0.0009
-7.077800e-06,0.0005
-7.077600e-06,-0.0007
-7.077400e-06,-0.0001
-7.077200e-06,0.0011
-7.077000e-06,0.0021
-7.076800e-06,0.0017
-7.076600e-06,0.0005
-7.076400e-06,-0.0011
-7.076200e-06,-0.0003
-7.076000e-06,0.0007
-7.075800e-06,0.0015
-7.075600e-06,0.0013
-7.075400e-06,0.0009
-7.075200e-06,0.0003
-7.075000e-06,0.0001
-7.074800e-06,0.0003
-7.074600e-06,0.0011
-7.074400e-06,0.0015
-7.074200e-06,0.0009
-7.074000e-06,0.0003
-7.073800e-06,0.0001
-7.073600e-06,0.0001
-7.073400e-06,0.0009
-7.073200e-06,0.0009
-7.073000e-06,0.0013
-7.072800e-06,0.0009
-7.072600e-06,0.0003
-7.072400e-06,0.0001
-7.072200e-06,-0.0001
-7.072000e-06,0.0003
-7.071800e-06,0.0015
-7.071600e-06,0.0015
-7.071400e-06,0.0007
-7.071200e-06,-0.0005
-7.071000e-06,-0.0011
-7.070800e-06,0.0005
-7.070600e-06,0.0021
-7.070400e-06,0.0013
-7.070200e-06,-0.0001
-7.070000e-06,-0.0007
-7.069800e-06,-0.0005
-7.069600e-06,0.0007
-7.069400e-06,0.0021
-7.069200e-06,0.0015
-7.069000e-06,0.0009
-7.068800e-06,-0.0001
-7.068600e-06,-0.0003
-7.068400e-06,0.0001
-7.068200e-06,0.0003
-7.068000e-06,0.0009
-7.067800e-06,0.0009
-7.067600e-06,0.0005
-7.067400e-06,-0.0001
-7.067200e-06,-0.0003
-7.067000e-06,0.0003
-7.066800e-06,0.0009
-7.066600e-06,0.0015
-7.066400e-06,0.0007
-7.066200e-06,0.0003
-7.066000e-06,-0.0009
-7.065800e-06,-0.0005
-7.065600e-06,0.0007
-7.065400e-06,0.0017
-7.065200e-06,0.0019
-7.065000e-06,0.0005
-7.064800e-06,-0.0009
-7.064600e-06,-0.0005
-7.064400e-06,0.0005
-7.064200e-06,0.0019
-7.064000e-06,0.0017
-7.063800e-06,0.0003
-7.063600e-06,-0.0009
-7.063400e-06,-0.0005
-7.063200e-06,0.0005
-7.063000e-06,0.0015
-7.062800e-06,0.0015
-7.062600e-06,0.0007
-7.062400e-06,-0.0001
-7.062200e-06,-0.0005
-7.062000e-06,-0.0001
-7.061800e-06,0.0013
-7.061600e-06,0.0015
-7.061400e-06,0.0009
-7.061200e-06,-0.0003
-7.061000e-06,-0.0003
-7.060800e-06,0.0001
-7.060600e-06,0.0011
-7.060400e-06,0.0011
-7.060200e-06,0.0011
-7.060000e-06,0.0003
-7.059800e-06,0.0001
-7.059600e-06,-0.0003
-7.059400e-06,0.0005
-7.059200e-06,0.0017
-7.059000e-06,0.0021
-7.058800e-06,0.0011
-7.058600e-06,0.0001
-7.058400e-06,-0.0005
-7.058200e-06,0.0001
-7.058000e-06,0.0017
-7.057800e-06,0.0017
-7.057600e-06,0.0011
-7.057400e-06,-0.0001
-7.057200e-06,-0.0011
-7.057000e-06,-0.0001
-7.056800e-06,0.0007
-7.056600e-06,0.0015
-7.056400e-06,0.0009
-7.056200e-06,-0.0001
-7.056000e-06,-0.0007
-7.055800e-06,-0.0003
-7.055600e-06,0.0009
-7.055400e-06,0.0017
-7.055200e-06,0.0013
-7.055000e-06,-0.0001
-7.054800e-06,-0.0007
-7.054600e-06,0.0003
-7.054400e-06,0.0005
-7.054200e-06,0.0009
-7.054000e-06,0.0007
-7.053800e-06,0.0003
-7.053600e-06,-0.0001
-7.053400e-06,0.0001
-7.053200e-06,0.0001
-7.053000e-06,0.0007
-7.052800e-06,0.0013
-7.052600e-06,0.0013
-7.052400e-06,0.0003
-7.052200e-06,-0.0001
-7.052000e-06,0.0003
-7.051800e-06,0.0007
-7.051600e-06,0.0015
-7.051400e-06,0.0013
-7.051200e-06,0.0001
-7.051000e-06,-0.0003
-7.050800e-06,-0.0001
-7.050600e-06,0.0009
-7.050400e-06,0.0015
-7.050200e-06,0.0011
-7.050000e-06,0.0001
-7.049800e-06,-0.0005
-7.049600e-06,-0.0003
-7.049400e-06,0.0007
-7.049200e-06,0.0009
-7.049000e-06,0.0007
-7.048800e-06,-0.0001
-7.048600e-06,0.0001
-7.048400e-06,-0.0005
-7.048200e-06,0.0007
-7.048000e-06,0.0015
-7.047800e-06,0.0011
-7.047600e-06,0.0007
-7.047400e-06,-0.0001
-7.047200e-06,0.0001
-7.047000e-06,0.0005
-7.046800e-06,0.0009
-7.046600e-06,0.0013
-7.046400e-06,0.0007
-7.046200e-06,0.0001
-7.046000e-06,-0.0001
-7.045800e-06,0.0003
-7.045600e-06,0.0005
-7.045400e-06,0.0011
-7.045200e-06,0.0007
-7.045000e-06,-0.0001
-7.044800e-06,0.0003
-7.044600e-06,0.0001
-7.044400e-06,0.0009
-7.044200e-06,0.0011
-7.044000e-06,0.0005
-7.043800e-06,0.0001
-7.043600e-06,-0.0001
-7.043400e-06,-0.0003
-7.043200e-06,0.0007
-7.043000e-06,0.0009
-7.042800e-06,0.0011
-7.042600e-06,0.0007
-7.042400e-06,0.0001
-7.042200e-06,-0.0001
-7.042000e-06,0.0005
-7.041800e-06,0.0011
-7.041600e-06,0.0015
-7.041400e-06,0.0007
-7.041200e-06,-0.0003
-7.041000e-06,-0.0001
-7.040800e-06,0.0001
-7.040600e-06,0.0011
-7.040400e-06,0.0011
-7.040200e-06,0.0003
-7.040000e-06,0.0001
-7.039800e-06,-0.0005
-7.039600e-06,0.0001
-7.039400e-06,0.0011
-7.039200e-06,0.0013
-7.039000e-06,0.0005
-7.038800e-06,-0.0005
-7.038600e-06,-0.0005
-7.038400e-06,0.0001
-7.038200e-06,0.0009
-7.038000e-06,0.0011
-7.037800e-06,0.0011
-7.037600e-06,0.0003
-7.037400e-06,-0.0007
-7.037200e-06,-0.0005
-7.037000e-06,0.0005
-7.036800e-06,0.0017
-7.036600e-06,0.0013
-7.036400e-06,0.0003
-7.036200e-06,-0.0001
-7.036000e-06,-0.0001
-7.035800e-06,0.0005
-7.035600e-06,0.0007
-7.035400e-06,0.0009
-7.035200e-06,0.0005
-7.035000e-06,0.0001
-7.034800e-06,-0.0007
-7.034600e-06,-0.0003
-7.034400e-06,0.0009
-7.034200e-06,0.0013
-7.034000e-06,0.0007
-7.033800e-06,-0.0003
-7.033600e-06,-0.0011
-7.033400e-06,-0.0003
-7.033200e-06,0.0009
-7.033000e-06,0.0017
-7.032800e-06,0.0013
-7.032600e-06,0.0001
-7.032400e-06,-0.0001
-7.032200e-06,-0.0003
-7.032000e-06,0.0007
-7.031800e-06,0.0017
-7.031600e-06,0.0011
-7.031400e-06,0.0005
-7.031200e-06,-0.0007
-7.031000e-06,0.0001
-7.030800e-06,0.0001
-7.030600e-06,0.0011
-7.030400e-06,0.0009
-7.030200e-06,0.0003
-7.030000e-06,-0.0003
-7.029800e-06,-0.0005
-7.029600e-06,0.0007
-7.029400e-06,0.0011
-7.029200e-06,0.0011
-7.029000e-06,0.0013
-7.028800e-06,-0.0001
-7.028600e-06,-0.0005
-7.028400e-06,-0.0005
-7.028200e-06,0.0005
-7.028000e-06,0.0011
-7.027800e-06,0.0015
-7.027600e-06,0.0007
-7.027400e-06,-0.0001
-7.027200e-06,-0.0007
-7.027000e-06,0.0005
-7.026800e-06,0.0015
-7.026600e-06,0.0017
-7.026400e-06,0.0005
-7.026200e-06,-0.0007
-7.026000e-06,-0.0001
-7.025800e-06,0.0007
-7.025600e-06,0.0013
-7.025400e-06,0.0013
-7.025200e-06,0.0003
-7.025000e-06,-0.0001
-7.024800e-06,0.0001
-7.024600e-06,0.0007
