[Hz],FFT[dBm]
0.00000000E+00,-5.57654E+01
7.62939453E+02,-5.94254E+01
1.52587891E+03,-7.79654E+01
2.28881836E+03,-9.36054E+01
3.05175781E+03,-8.86054E+01
3.81469727E+03,-8.93454E+01
4.57763672E+03,-9.39454E+01
5.34057617E+03,-8.72054E+01
6.10351562E+03,-9.92854E+01
6.86645508E+03,-8.67854E+01
7.62939453E+03,-8.27054E+01
8.39233398E+03,-8.60454E+01
9.15527344E+03,-8.79454E+01
9.91821289E+03,-8.91254E+01
1.06811523E+04,-8.78654E+01
1.14440918E+04,-8.65054E+01
1.22070312E+04,-9.06254E+01
1.29699707E+04,-8.80054E+01
1.37329102E+04,-8.80254E+01
1.44958496E+04,-1.03825E+02
1.52587891E+04,-9.15454E+01
1.60217285E+04,-8.85854E+01
1.67846680E+04,-8.80454E+01
1.75476074E+04,-8.65454E+01
1.83105469E+04,-9.66454E+01
1.90734863E+04,-9.13454E+01
1.98364258E+04,-9.79654E+01
2.05993652E+04,-9.45854E+01
2.13623047E+04,-9.06054E+01
2.21252441E+04,-8.99054E+01
2.28881836E+04,-1.00505E+02
2.36511230E+04,-1.07345E+02
2.44140625E+04,-8.76254E+01
2.51770020E+04,-8.50054E+01
2.59399414E+04,-8.99654E+01
2.67028809E+04,-8.53854E+01
2.74658203E+04,-8.63854E+01
2.82287598E+04,-9.22854E+01
2.89916992E+04,-8.49054E+01
2.97546387E+04,-8.19254E+01
3.05175781E+04,-8.18454E+01
3.12805176E+04,-8.56454E+01
3.20434570E+04,-1.06885E+02
3.28063965E+04,-8.82454E+01
3.35693359E+04,-8.93054E+01
3.43322754E+04,-9.70054E+01
3.50952148E+04,-9.16854E+01
3.58581543E+04,-9.19454E+01
3.66210938E+04,-9.51254E+01
3.73840332E+04,-9.24054E+01
3.81469727E+04,-9.61654E+01
3.89099121E+04,-9.61254E+01
3.96728516E+04,-8.79454E+01
4.04357910E+04,-9.19254E+01
4.11987305E+04,-9.51854E+01
4.19616699E+04,-9.28254E+01
4.27246094E+04,-9.14654E+01
4.34875488E+04,-9.38854E+01
4.42504883E+04,-9.60054E+01
4.50134277E+04,-8.97854E+01
4.57763672E+04,-9.04854E+01
4.65393066E+04,-9.07454E+01
4.73022461E+04,-8.45254E+01
4.80651855E+04,-8.35654E+01
4.88281250E+04,-8.01054E+01
4.95910645E+04,-6.48854E+01
5.03540039E+04,-6.44254E+01
5.11169434E+04,-7.63854E+01
5.18798828E+04,-9.38454E+01
5.26428223E+04,-9.05854E+01
5.34057617E+04,-9.01054E+01
5.41687012E+04,-9.34854E+01
5.49316406E+04,-9.14054E+01
5.56945801E+04,-9.48254E+01
5.64575195E+04,-9.45054E+01
5.72204590E+04,-9.14454E+01
5.79833984E+04,-8.77254E+01
5.87463379E+04,-8.57054E+01
5.95092773E+04,-8.83854E+01
6.02722168E+04,-8.72254E+01
6.10351562E+04,-8.76054E+01
6.17980957E+04,-9.10054E+01
6.25610352E+04,-9.72254E+01
6.33239746E+04,-9.33054E+01
6.40869141E+04,-8.85054E+01
6.48498535E+04,-9.16054E+01
6.56127930E+04,-9.21654E+01
6.63757324E+04,-9.16654E+01
6.71386719E+04,-8.56054E+01
6.79016113E+04,-8.57054E+01
6.86645508E+04,-9.43454E+01
6.94274902E+04,-9.63454E+01
7.01904297E+04,-9.28454E+01
7.09533691E+04,-1.01725E+02
7.17163086E+04,-1.02345E+02
7.24792480E+04,-9.66654E+01
7.32421875E+04,-1.03065E+02
7.40051270E+04,-1.06385E+02
7.47680664E+04,-8.76854E+01
7.55310059E+04,-8.80854E+01
7.62939453E+04,-9.77454E+01
7.70568848E+04,-1.08465E+02
7.78198242E+04,-9.47254E+01
7.85827637E+04,-1.08425E+02
7.93457031E+04,-9.08654E+01
8.01086426E+04,-8.87654E+01
8.08715820E+04,-9.27054E+01
8.16345215E+04,-1.02405E+02
8.23974609E+04,-1.04965E+02
8.31604004E+04,-9.83254E+01
8.39233398E+04,-9.55254E+01
8.46862793E+04,-8.94054E+01
8.54492188E+04,-9.43454E+01
8.62121582E+04,-9.30454E+01
8.69750977E+04,-9.29054E+01
8.77380371E+04,-1.10885E+02
8.85009766E+04,-9.57854E+01
8.92639160E+04,-8.87454E+01
9.00268555E+04,-8.33654E+01
9.07897949E+04,-8.45054E+01
9.15527344E+04,-9.79254E+01
9.23156738E+04,-9.02454E+01
9.30786133E+04,-8.62854E+01
9.38415527E+04,-8.65254E+01
9.46044922E+04,-8.89854E+01
9.53674316E+04,-9.94454E+01
9.61303711E+04,-9.71254E+01
9.68933105E+04,-9.43454E+01
9.76562500E+04,-9.00254E+01
9.84191895E+04,-9.34454E+01
9.91821289E+04,-7.53654E+01
9.99450684E+04,-6.90254E+01
1.00708008E+05,-7.33854E+01
1.01470947E+05,-9.25254E+01
1.02233887E+05,-1.00125E+02
1.02996826E+05,-8.92854E+01
1.03759766E+05,-8.78654E+01
1.04522705E+05,-8.84254E+01
1.05285645E+05,-8.89454E+01
1.06048584E+05,-9.42854E+01
1.06811523E+05,-8.84654E+01
1.07574463E+05,-9.06854E+01
1.08337402E+05,-9.24254E+01
1.09100342E+05,-9.69654E+01
1.09863281E+05,-9.29454E+01
1.10626221E+05,-9.19254E+01
1.11389160E+05,-9.05654E+01
1.12152100E+05,-8.94854E+01
1.12915039E+05,-9.15054E+01
1.13677979E+05,-9.81254E+01
1.14440918E+05,-8.78054E+01
1.15203857E+05,-9.61654E+01
1.15966797E+05,-9.60054E+01
1.16729736E+05,-9.70454E+01
1.17492676E+05,-1.01985E+02
1.18255615E+05,-9.81454E+01
1.19018555E+05,-9.81854E+01
1.19781494E+05,-9.38254E+01
1.20544434E+05,-8.85654E+01
1.21307373E+05,-9.42054E+01
1.22070312E+05,-1.06805E+02
1.22833252E+05,-1.01085E+02
1.23596191E+05,-1.23025E+02
1.24359131E+05,-8.65054E+01
1.25122070E+05,-8.22254E+01
1.25885010E+05,-8.36254E+01
1.26647949E+05,-8.81654E+01
1.27410889E+05,-8.87054E+01
1.28173828E+05,-8.73054E+01
1.28936768E+05,-9.89254E+01
1.29699707E+05,-9.64254E+01
1.30462646E+05,-9.27854E+01
1.31225586E+05,-9.17854E+01
1.31988525E+05,-8.76254E+01
1.32751465E+05,-8.77854E+01
1.33514404E+05,-9.45654E+01
1.34277344E+05,-9.32054E+01
1.35040283E+05,-1.00045E+02
1.35803223E+05,-9.22654E+01
1.36566162E+05,-8.62854E+01
1.37329102E+05,-8.96654E+01
1.38092041E+05,-9.30254E+01
1.38854980E+05,-8.60854E+01
1.39617920E+05,-8.47254E+01
1.40380859E+05,-9.10654E+01
1.41143799E+05,-9.17654E+01
1.41906738E+05,-8.56654E+01
1.42669678E+05,-8.72254E+01
1.43432617E+05,-9.17054E+01
1.44195557E+05,-9.01654E+01
1.44958496E+05,-9.08454E+01
1.45721436E+05,-9.51054E+01
1.46484375E+05,-9.88254E+01
1.47247314E+05,-1.01205E+02
1.48010254E+05,-9.03254E+01
1.48773193E+05,-9.17854E+01
1.49536133E+05,-8.08254E+01
1.50299072E+05,-8.10654E+01
1.51062012E+05,-1.03345E+02
1.51824951E+05,-9.68054E+01
1.52587891E+05,-8.68054E+01
1.53350830E+05,-8.35254E+01
1.54113770E+05,-8.35654E+01
1.54876709E+05,-8.34054E+01
1.55639648E+05,-8.96254E+01
1.56402588E+05,-8.85654E+01
1.57165527E+05,-8.77054E+01
1.57928467E+05,-1.06285E+02
1.58691406E+05,-1.01205E+02
1.59454346E+05,-8.96854E+01
1.60217285E+05,-9.22854E+01
1.60980225E+05,-9.08654E+01
1.61743164E+05,-8.94254E+01
1.62506104E+05,-8.93254E+01
1.63269043E+05,-9.07854E+01
1.64031982E+05,-9.22454E+01
1.64794922E+05,-9.18854E+01
1.65557861E+05,-9.25654E+01
1.66320801E+05,-9.17454E+01
1.67083740E+05,-9.10654E+01
1.67846680E+05,-9.05454E+01
1.68609619E+05,-9.97254E+01
1.69372559E+05,-9.09054E+01
1.70135498E+05,-8.98254E+01
1.70898438E+05,-1.08785E+02
1.71661377E+05,-8.69054E+01
1.72424316E+05,-8.42854E+01
1.73187256E+05,-8.69854E+01
1.73950195E+05,-8.91654E+01
1.74713135E+05,-9.00854E+01
1.75476074E+05,-8.51254E+01
1.76239014E+05,-8.99454E+01
1.77001953E+05,-9.02854E+01
1.77764893E+05,-9.03454E+01
1.78527832E+05,-8.63454E+01
1.79290771E+05,-8.29654E+01
1.80053711E+05,-8.33054E+01
1.80816650E+05,-8.71054E+01
1.81579590E+05,-9.27454E+01
1.82342529E+05,-9.42054E+01
1.83105469E+05,-9.23854E+01
1.83868408E+05,-8.83054E+01
1.84631348E+05,-8.83254E+01
1.85394287E+05,-9.81254E+01
1.86157227E+05,-1.00825E+02
1.86920166E+05,-9.12054E+01
1.87683105E+05,-9.13054E+01
1.88446045E+05,-9.37654E+01
1.89208984E+05,-9.08654E+01
1.89971924E+05,-9.64254E+01
1.90734863E+05,-8.78654E+01
1.91497803E+05,-9.16854E+01
1.92260742E+05,-9.70454E+01
1.93023682E+05,-1.00725E+02
1.93786621E+05,-1.00545E+02
1.94549561E+05,-1.03945E+02
1.95312500E+05,-1.00885E+02
1.96075439E+05,-9.10054E+01
1.96838379E+05,-8.46254E+01
1.97601318E+05,-8.61654E+01
1.98364258E+05,-9.48454E+01
1.99127197E+05,-8.41654E+01
1.99890137E+05,-7.83254E+01
2.00653076E+05,-8.35254E+01
2.01416016E+05,-9.10654E+01
2.02178955E+05,-8.99254E+01
2.02941895E+05,-1.08585E+02
2.03704834E+05,-9.12454E+01
2.04467773E+05,-9.20654E+01
2.05230713E+05,-8.98654E+01
2.05993652E+05,-8.57054E+01
2.06756592E+05,-8.50054E+01
2.07519531E+05,-9.10254E+01
2.08282471E+05,-9.46854E+01
2.09045410E+05,-8.96254E+01
2.09808350E+05,-8.98854E+01
2.10571289E+05,-9.14054E+01
2.11334229E+05,-9.90054E+01
2.12097168E+05,-8.96054E+01
2.12860107E+05,-9.05254E+01
2.13623047E+05,-9.23254E+01
2.14385986E+05,-1.00425E+02
2.15148926E+05,-9.84054E+01
2.15911865E+05,-9.45054E+01
2.16674805E+05,-9.52854E+01
2.17437744E+05,-8.81054E+01
2.18200684E+05,-8.99454E+01
2.18963623E+05,-9.16654E+01
2.19726562E+05,-9.18054E+01
2.20489502E+05,-9.41854E+01
2.21252441E+05,-1.01485E+02
2.22015381E+05,-1.02985E+02
2.22778320E+05,-9.18054E+01
2.23541260E+05,-8.43454E+01
2.24304199E+05,-8.73054E+01
2.25067139E+05,-1.00245E+02
2.25830078E+05,-8.67054E+01
2.26593018E+05,-8.35454E+01
2.27355957E+05,-8.58654E+01
2.28118896E+05,-8.84654E+01
2.28881836E+05,-1.06245E+02
2.29644775E+05,-8.99654E+01
2.30407715E+05,-1.01445E+02
2.31170654E+05,-9.57054E+01
2.31933594E+05,-8.91054E+01
2.32696533E+05,-9.54654E+01
2.33459473E+05,-8.77854E+01
2.34222412E+05,-8.45654E+01
2.34985352E+05,-8.56454E+01
2.35748291E+05,-9.39854E+01
2.36511230E+05,-8.96854E+01
2.37274170E+05,-8.97454E+01
2.38037109E+05,-1.04265E+02
2.38800049E+05,-9.56054E+01
2.39562988E+05,-9.61654E+01
2.40325928E+05,-8.85854E+01
2.41088867E+05,-9.20054E+01
2.41851807E+05,-9.51854E+01
2.42614746E+05,-9.84454E+01
2.43377686E+05,-9.56454E+01
2.44140625E+05,-9.23254E+01
2.44903564E+05,-8.85454E+01
2.45666504E+05,-8.77254E+01
2.46429443E+05,-8.87454E+01
2.47192383E+05,-9.48854E+01
2.47955322E+05,-1.06085E+02
2.48718262E+05,-9.98054E+01
2.49481201E+05,-1.09185E+02
2.50244141E+05,-9.14254E+01
2.51007080E+05,-9.40854E+01
2.51770020E+05,-9.78054E+01
2.52532959E+05,-9.31254E+01
2.53295898E+05,-1.00445E+02
2.54058838E+05,-9.08654E+01
2.54821777E+05,-8.94454E+01
2.55584717E+05,-8.47254E+01
2.56347656E+05,-9.16454E+01
2.57110596E+05,-9.99454E+01
2.57873535E+05,-9.42654E+01
2.58636475E+05,-9.99654E+01
2.59399414E+05,-1.02605E+02
2.60162354E+05,-9.15254E+01
2.60925293E+05,-8.82454E+01
2.61688232E+05,-9.13254E+01
2.62451172E+05,-8.82254E+01
2.63214111E+05,-8.47654E+01
2.63977051E+05,-9.24254E+01
2.64739990E+05,-1.00265E+02
2.65502930E+05,-1.00305E+02
2.66265869E+05,-9.18654E+01
2.67028809E+05,-9.39654E+01
2.67791748E+05,-9.73654E+01
2.68554688E+05,-9.27454E+01
2.69317627E+05,-8.52854E+01
2.70080566E+05,-8.65054E+01
2.70843506E+05,-8.96054E+01
2.71606445E+05,-8.80454E+01
2.72369385E+05,-9.31654E+01
2.73132324E+05,-9.74854E+01
2.73895264E+05,-1.13345E+02
2.74658203E+05,-8.98054E+01
2.75421143E+05,-8.70454E+01
2.76184082E+05,-9.13654E+01
2.76947021E+05,-1.11845E+02
2.77709961E+05,-9.76054E+01
2.78472900E+05,-9.51054E+01
2.79235840E+05,-9.33254E+01
2.79998779E+05,-1.11345E+02
2.80761719E+05,-1.05025E+02
2.81524658E+05,-9.72054E+01
2.82287598E+05,-9.42854E+01
2.83050537E+05,-9.46454E+01
2.83813477E+05,-8.98454E+01
2.84576416E+05,-9.31454E+01
2.85339355E+05,-9.31054E+01
2.86102295E+05,-8.79254E+01
2.86865234E+05,-8.77654E+01
2.87628174E+05,-8.98654E+01
2.88391113E+05,-9.66654E+01
2.89154053E+05,-9.12054E+01
2.89916992E+05,-8.63854E+01
2.90679932E+05,-9.02854E+01
2.91442871E+05,-9.13454E+01
2.92205811E+05,-9.11454E+01
2.92968750E+05,-9.72654E+01
2.93731689E+05,-9.99654E+01
2.94494629E+05,-9.17654E+01
2.95257568E+05,-8.81654E+01
2.96020508E+05,-8.65254E+01
2.96783447E+05,-9.41454E+01
2.97546387E+05,-9.23654E+01
2.98309326E+05,-8.88454E+01
2.99072266E+05,-8.76454E+01
2.99835205E+05,-8.30454E+01
3.00598145E+05,-8.74254E+01
3.01361084E+05,-9.40654E+01
3.02124023E+05,-1.14025E+02
3.02886963E+05,-9.09054E+01
3.03649902E+05,-9.12054E+01
3.04412842E+05,-9.55654E+01
3.05175781E+05,-9.43654E+01
3.05938721E+05,-9.06854E+01
3.06701660E+05,-9.13054E+01
3.07464600E+05,-9.48854E+01
3.08227539E+05,-1.04425E+02
3.08990479E+05,-9.39654E+01
3.09753418E+05,-9.30654E+01
3.10516357E+05,-9.47854E+01
3.11279297E+05,-9.12054E+01
3.12042236E+05,-8.70854E+01
3.12805176E+05,-9.35054E+01
3.13568115E+05,-1.07045E+02
3.14331055E+05,-1.01445E+02
3.15093994E+05,-8.95654E+01
3.15856934E+05,-8.88654E+01
3.16619873E+05,-9.07454E+01
3.17382812E+05,-9.44054E+01
3.18145752E+05,-9.43254E+01
3.18908691E+05,-9.61254E+01
3.19671631E+05,-1.07545E+02
3.20434570E+05,-9.72854E+01
3.21197510E+05,-9.64854E+01
3.21960449E+05,-9.13254E+01
3.22723389E+05,-8.74054E+01
3.23486328E+05,-8.63854E+01
3.24249268E+05,-9.31654E+01
3.25012207E+05,-8.53654E+01
3.25775146E+05,-8.62854E+01
3.26538086E+05,-8.82054E+01
3.27301025E+05,-9.19654E+01
3.28063965E+05,-9.84654E+01
3.28826904E+05,-9.75254E+01
3.29589844E+05,-8.86254E+01
3.30352783E+05,-8.98854E+01
3.31115723E+05,-9.21454E+01
3.31878662E+05,-9.12454E+01
3.32641602E+05,-8.74454E+01
3.33404541E+05,-8.51854E+01
3.34167480E+05,-8.56454E+01
3.34930420E+05,-8.81254E+01
3.35693359E+05,-9.45654E+01
3.36456299E+05,-8.95254E+01
3.37219238E+05,-8.64654E+01
3.37982178E+05,-1.06985E+02
3.38745117E+05,-9.37654E+01
3.39508057E+05,-9.45654E+01
3.40270996E+05,-8.94854E+01
3.41033936E+05,-9.88654E+01
3.41796875E+05,-8.99454E+01
3.42559814E+05,-8.42054E+01
3.43322754E+05,-8.51254E+01
3.44085693E+05,-9.35054E+01
3.44848633E+05,-9.18254E+01
3.45611572E+05,-8.77654E+01
3.46374512E+05,-8.72254E+01
3.47137451E+05,-8.53654E+01
3.47900391E+05,-8.94254E+01
3.48663330E+05,-9.79454E+01
3.49426270E+05,-9.55654E+01
3.50189209E+05,-9.24254E+01
3.50952148E+05,-8.64254E+01
3.51715088E+05,-8.81854E+01
3.52478027E+05,-9.21454E+01
3.53240967E+05,-8.30854E+01
3.54003906E+05,-8.63854E+01
3.54766846E+05,-9.27254E+01
3.55529785E+05,-9.11854E+01
3.56292725E+05,-9.18454E+01
3.57055664E+05,-9.58654E+01
3.57818604E+05,-9.27254E+01
3.58581543E+05,-8.67854E+01
3.59344482E+05,-9.08254E+01
3.60107422E+05,-1.00085E+02
3.60870361E+05,-1.12945E+02
3.61633301E+05,-1.07305E+02
3.62396240E+05,-9.61254E+01
3.63159180E+05,-1.04105E+02
3.63922119E+05,-9.23854E+01
3.64685059E+05,-9.17254E+01
3.65447998E+05,-9.78854E+01
3.66210938E+05,-9.24254E+01
3.66973877E+05,-8.80254E+01
3.67736816E+05,-9.24254E+01
3.68499756E+05,-8.99854E+01
3.69262695E+05,-9.02254E+01
3.70025635E+05,-9.46854E+01
3.70788574E+05,-9.68054E+01
3.71551514E+05,-9.77054E+01
3.72314453E+05,-1.02565E+02
3.73077393E+05,-9.68454E+01
3.73840332E+05,-9.71254E+01
3.74603271E+05,-9.03854E+01
3.75366211E+05,-9.41454E+01
3.76129150E+05,-9.51654E+01
3.76892090E+05,-9.57854E+01
3.77655029E+05,-1.02905E+02
3.78417969E+05,-1.07305E+02
