# Acquisition time: 29/10/2024 12:33:47
# Timer interval: 1000 ms
# Measurement length: 60 s
# Add comment here
# Time [ms] Channel 1 Channel 2 Channel 3
1000	22493	17635	347
1031	22662	18301	347
1000	22366	17303	368
1000	22161	17856	347
1000	22067	17519	337
1000	22398	17730	354
1000	22436	17591	367
1000	22490	18118	350
1000	22242	17618	351
1016	22055	18151	370
1000	21919	17524	359
1000	22414	17648	384
1000	22261	17630	327
1000	22144	17636	357
1000	22350	17987	367
1000	22273	17656	382
1000	22133	17741	358
1000	22052	17467	347
1000	22506	17589	334
984	21811	17423	356
1000	22267	17729	356
1016	22049	17608	356
1000	22725	17637	364
1016	21944	17874	371
1000	22552	17754	357
1015	22162	17721	328
1000	22520	17890	346
1016	22394	18061	375
984	22021	17448	354
1016	22311	17766	360
1000	22342	17770	353
1015	22637	18118	379
1032	22477	18141	356
1000	22393	17861	385
1000	22481	17635	376
1015	22073	17892	355
985	22043	17533	339
1015	22364	17912	361
1000	22457	17583	342
1016	22432	17953	343
1000	22285	17717	340
1016	22294	17969	357
1000	22520	17973	328
1015	22173	17595	334
1000	22162	17898	377
1016	22278	17624	342
1000	21984	17394	367
1000	22333	17588	336
1000	22288	17932	364
1031	22551	17992	381
1000	22244	17603	339
1000	21878	17488	358
984	22267	18030	348
1016	22291	17703	335
1000	22373	17513	314
1031	22794	18161	379
1000	22356	17660	351
985	22078	17502	370
1000	21766	17744	373
1000	22079	17702	374
