# Acquisition time: 29/10/2024 12:10:50
# Timer interval: 1000 ms
# Measurement length: 60 s
# Add comment here
# Time [ms] Channel 1 Channel 2 Channel 3
984	19780	27063	681
1000	20196	27507	682
1016	20320	27598	705
1000	19959	27589	750
1000	19834	27258	708
1000	19824	27289	705
984	20006	27442	729
1031	20511	27899	786
1000	20202	27245	698
1016	20210	28034	720
1000	20247	27686	691
1000	20137	27477	699
1016	20737	27865	720
1000	20236	27661	739
1015	20087	27574	725
1000	19914	27516	704
985	20078	27036	682
1015	20121	27394	700
1000	20193	26983	716
1016	20480	27915	777
1016	20904	28177	753
1000	20738	27677	744
1000	20201	27048	696
1031	20606	28218	741
1000	20002	27503	698
1000	20069	27697	694
1015	20041	27733	734
1016	20576	28084	717
1000	20294	27489	713
1000	20364	27689	709
1016	20952	27816	744
1000	20367	27655	711
1031	20859	28160	696
984	19975	27257	670
1000	20392	27675	738
1000	20569	27269	687
1016	20405	27694	702
1000	20387	27388	736
1016	20227	27590	689
1000	20754	28171	774
1031	20816	27901	766
1000	20398	27219	716
1000	20504	27639	756
1000	20800	27882	711
1031	21031	28179	755
1000	20920	27525	729
1016	20456	27776	721
984	20352	27202	720
1016	20181	28002	749
984	20197	27402	698
1000	20282	27522	703
1016	20154	27811	669
1000	20535	27397	687
1000	20477	27739	724
968	20263	27320	712
1016	20690	27987	744
1000	20438	27469	716
1016	20657	27908	749
1000	20654	27625	757
984	20138	27234	721
