# Acquisition time: 29/10/2024 12:32:22
# Timer interval: 1000 ms
# Measurement length: 60 s
# Add comment here
# Time [ms] Channel 1 Channel 2 Channel 3
1015	22551	27951	426
1016	22367	27991	428
984	21907	27287	442
1016	22425	27882	467
1016	22167	27696	464
1000	22261	27586	423
984	22374	27586	470
1016	22084	27678	453
1000	22361	27531	448
1031	22794	28185	462
984	22070	27474	484
1016	22393	27724	459
984	22243	27260	461
1016	22171	28094	471
1015	22632	27892	427
1016	22509	27797	462
1016	22672	28169	446
1015	22158	27948	447
1000	22256	27480	448
1000	22492	27660	456
1016	22526	28320	489
984	22315	27559	456
1016	22432	27851	472
1016	22282	27997	455
1015	22668	28405	465
1016	22316	28020	434
1015	22543	27983	441
1016	22478	28056	449
1000	22403	27667	433
1016	22292	27930	449
1000	22660	27664	499
1015	22304	28030	464
1016	22603	27972	451
1000	22061	27277	439
1016	22495	28084	474
1015	22309	27547	413
1000	22738	28080	479
1016	22496	28130	474
1015	22421	27910	455
1000	22160	27635	468
985	22250	27148	481
1015	22208	27913	453
1000	22068	27646	430
1000	22282	27862	475
1000	22252	27843	471
1016	22184	27757	438
984	22046	27693	454
1016	22369	28017	492
1016	22666	27955	443
1015	22453	27392	456
985	21928	27444	447
1000	22322	27646	448
1015	22466	28027	452
1000	22296	27641	467
1000	22017	27544	447
1000	22362	27614	431
1016	22550	28058	474
1000	22023	27372	458
984	22580	27479	440
1000	22542	27340	449
