# Acquisition time: 29/10/2024 12:06:18
# Timer interval: 1000 ms
# Measurement length: 60 s
# Add comment here
# Time [ms] Channel 1 Channel 2 Channel 3
1000	20535	19766	72
1000	20621	19539	69
1016	20633	19772	64
1000	20615	19611	62
1000	20290	19541	69
1015	20871	20071	71
1000	20205	19744	69
1000	20684	19737	79
1016	20500	19730	77
1016	21143	20130	69
1000	20294	19477	70
1000	20352	19750	82
984	19961	19424	84
1016	21028	19702	84
1000	20290	19899	79
1000	20533	19601	62
984	20449	19360	81
1016	20723	19899	71
1000	20407	19404	72
1000	20237	19498	69
1000	20516	19748	71
1015	20215	19431	72
1016	20781	19857	76
1000	20312	19492	66
1000	20322	19538	75
1000	20341	19614	77
969	20013	19392	58
1015	20444	19503	71
1000	20049	19346	84
1016	20544	19649	88
984	20477	19075	68
1016	20375	19438	71
1000	20522	19389	75
1031	20929	19680	70
1000	20246	19441	73
1000	20134	19389	67
1000	20047	19513	68
1000	20341	19206	57
985	20371	19246	71
1015	20660	19498	69
1000	20294	19294	60
1000	20712	19417	71
985	20666	18921	74
1015	20901	19378	66
1000	20513	19425	72
1016	20784	19244	77
984	20236	19120	76
1016	20885	19583	70
1000	20736	19376	77
1015	20673	19635	69
1000	20594	19593	87
1016	20612	19635	70
1016	20669	19432	75
1000	20400	19336	75
1015	20839	19612	68
1016	20712	19185	64
1000	20340	18886	83
1000	20174	19116	49
1016	20756	19693	81
984	20204	19317	80
