t,x,F,def
0.0,0.013,11.5,1.68
1.5,0.214,16.5,2.41
3.01,0.414,23.1,3.37
4.51,0.614,28.2,4.12
6.01,0.814,32.7,4.78
7.51,1.014,40.5,5.92
9.01,1.214,44.3,6.47
10.51,1.414,52.0,7.6
12.01,1.614,57.7,8.43
13.51,1.814,63.8,9.32
15.01,2.014,71.2,10.4
16.5,2.214,77.8,11.37
18.0,2.414,85.1,12.43
19.5,2.614,92.4,13.5
21.0,2.814,101.3,14.8
22.5,3.014,109.2,15.95
24.0,3.214,117.1,17.11
25.5,3.414,122.4,17.88
27.0,3.614,131.6,19.23
28.5,3.814,136.7,19.97
30.0,4.014,146.2,21.36
31.5,4.214,152.1,22.22
33.01,4.414,160.8,23.49
34.51,4.614,167.3,24.44
36.01,4.814,175.6,25.65
37.51,5.014,182.7,26.69
39.01,5.214,189.7,27.71
40.51,5.414,196.6,28.72
42.01,5.614,204.7,29.91
43.51,5.814,212.9,31.1
45.01,6.014,218.5,31.92
46.51,6.214,226.6,33.1
48.01,6.414,233.1,34.05
49.51,6.614,240.3,35.11
51.01,6.814,247.0,36.08
52.51,7.014,254.7,37.21
54.01,7.214,262.9,38.41
55.51,7.414,269.9,39.43
57.01,7.614,276.4,40.38
58.51,7.814,284.7,41.59
60.01,8.014,288.7,42.18
61.51,8.214,297.3,43.43
63.01,8.413,303.7,44.37
64.5,8.614,311.8,45.55
66.0,8.814,319.2,46.63
67.5,9.014,324.9,47.47
69.0,9.214,331.0,48.36
70.5,9.413,339.2,49.55
72.0,9.614,345.3,50.45
73.5,9.814,353.4,51.63
75.0,10.014,359.6,52.53
76.5,10.214,366.4,53.53
78.0,10.413,373.2,54.52
79.5,10.614,378.1,55.24
81.0,10.814,385.8,56.36
82.5,11.014,390.9,57.11
84.0,11.214,397.1,58.01
85.5,11.413,404.5,59.09
87.0,11.614,410.3,59.94
88.5,11.814,416.3,60.82
90.0,12.014,421.2,61.53
91.5,12.214,428.6,62.62
93.0,12.413,433.0,63.26
94.5,12.614,440.8,64.4
96.0,12.814,445.0,65.01
97.5,13.014,449.6,65.68
99.0,13.214,457.0,66.76
100.5,13.413,461.5,67.42
102.0,13.614,467.3,68.27
103.5,13.814,472.4,69.01
105.0,14.014,477.9,69.82
106.5,14.214,483.4,70.62
108.0,14.413,488.8,71.41
109.5,14.614,492.9,72.01
111.0,14.814,498.8,72.87
112.5,15.014,504.6,73.72
114.0,15.214,510.9,74.64
115.5,15.413,513.2,74.97
117.0,15.614,520.3,76.01
118.5,15.814,525.1,76.71
120.0,16.014,528.9,77.27
121.5,16.213,533.7,77.97
123.0,16.413,538.0,78.6
124.5,16.614,543.6,79.42
126.0,16.814,548.4,80.12
127.5,17.014,552.4,80.7
129.01,17.213,557.0,81.37
130.51,17.413,560.1,81.83
132.01,17.614,565.9,82.67
133.51,17.814,569.9,83.26
135.01,18.014,573.0,83.71
136.51,18.213,577.9,84.43
138.01,18.413,583.6,85.26
139.51,18.614,587.0,85.76
141.01,18.813,591.2,86.37
142.51,19.014,594.9,86.91
144.01,19.213,599.7,87.61
145.51,19.413,605.5,88.46
147.01,19.614,608.3,88.87
148.51,19.814,612.8,89.53
150.01,20.014,615.3,89.89
151.51,20.213,618.9,90.42
153.01,20.413,623.8,91.13
154.51,20.614,628.5,91.82
156.01,20.813,633.6,92.56
157.51,21.014,636.0,92.91
159.01,21.213,638.0,93.21
160.51,21.413,643.0,93.94
162.01,21.614,646.6,94.46
163.51,21.814,650.4,95.02
165.01,22.014,655.4,95.75
166.51,22.213,657.3,96.03
168.01,22.413,661.2,96.6
169.51,22.614,663.4,96.92
171.01,22.814,667.8,97.56
172.51,23.014,671.5,98.1
174.01,23.213,673.3,98.36
175.51,23.413,677.7,99.01
177.01,23.614,682.9,99.77
178.51,23.814,681.9,99.62
180.01,24.014,685.2,100.1
181.51,24.213,689.9,100.79
183.01,24.413,689.7,100.76
184.51,24.614,693.4,101.3
186.01,24.813,698.6,102.06
187.51,25.014,703.2,102.73
189.01,25.213,702.2,102.59
190.51,25.413,704.0,102.85
192.01,25.614,707.2,103.32
193.51,25.813,710.0,103.73
195.01,26.014,710.2,103.75
196.51,26.213,714.3,104.35
198.01,26.413,719.1,105.05
199.51,26.614,720.8,105.3
201.01,26.813,721.3,105.38
202.51,27.014,722.4,105.54
204.01,27.213,727.0,106.21
205.51,27.413,732.0,106.94
207.01,27.614,729.9,106.63
208.51,27.813,729.8,106.62
210.01,28.014,736.3,107.57
211.51,28.213,737.5,107.74
213.01,28.413,737.6,107.76
214.51,28.614,742.3,108.44
216.01,28.813,742.0,108.4
217.51,29.014,742.4,108.46
219.01,29.213,748.4,109.34
220.51,29.413,748.0,109.28
222.01,29.614,750.1,109.58
223.51,29.813,750.7,109.67
225.01,30.014,753.5,110.08
226.51,30.213,755.0,110.3
228.01,30.413,752.1,109.88
229.51,30.614,761.2,111.21
231.01,30.813,761.0,111.18
232.51,31.014,762.9,111.45
234.01,31.213,763.7,111.57
235.51,31.413,766.3,111.95
237.01,31.614,767.3,112.1
238.51,31.813,768.7,112.3
240.01,32.014,771.2,112.67
241.51,32.214,774.4,113.13
243.01,32.414,773.1,112.94
244.51,32.613,773.1,112.94
246.01,32.813,774.9,113.21
247.51,33.014,777.9,113.65
249.01,33.214,781.1,114.11
250.51,33.414,776.3,113.41
252.01,33.613,778.9,113.79
253.51,33.813,786.6,114.92
255.01,34.014,781.7,114.2
256.51,34.214,783.8,114.51
258.01,34.414,783.3,114.43
259.51,34.613,787.8,115.09
261.01,34.813,786.8,114.95
262.51,35.014,784.1,114.55
264.01,35.214,788.4,115.18
265.51,35.414,791.2,115.59
267.01,35.613,790.0,115.41
268.51,35.813,789.7,115.37
270.01,36.014,794.2,116.03
271.51,36.214,793.3,115.89
273.01,36.414,790.4,115.47
274.51,36.613,794.1,116.01
276.01,36.813,794.2,116.03
277.51,37.014,793.8,115.97
279.01,37.214,793.2,115.88
280.51,37.414,793.0,115.85
282.01,37.613,792.0,115.7
283.51,37.813,794.3,116.04
285.01,38.014,797.7,116.54
286.51,38.214,797.2,116.46
288.01,38.413,799.5,116.8
289.51,38.613,798.0,116.58
291.01,38.813,797.5,116.51
292.51,39.014,798.0,116.58
294.01,39.214,800.2,116.9
295.51,39.413,797.9,116.57
297.01,39.613,797.2,116.46
298.51,39.813,794.2,116.03
300.01,40.014,794.1,116.01
301.51,40.214,795.2,116.17
303.01,40.413,796.1,116.3
304.51,40.613,794.9,116.13
306.01,40.813,797.2,116.46
307.51,41.014,796.7,116.39
309.01,41.214,790.6,115.5
310.51,41.413,791.7,115.66
312.01,41.613,792.7,115.81
313.51,41.813,795.3,116.19
315.01,42.014,792.1,115.72
316.51,42.213,792.2,115.73
318.01,42.413,792.7,115.81
319.51,42.613,792.4,115.76
321.01,42.813,788.7,115.22
322.51,43.014,791.0,115.56
324.01,43.213,787.0,114.97
325.51,43.414,788.3,115.16
327.01,43.613,786.3,114.87
328.51,43.813,787.6,115.06
330.01,44.014,784.7,114.64
331.51,44.214,784.6,114.62
333.01,44.413,781.5,114.17
334.51,44.613,784.1,114.55
336.01,44.813,780.7,114.05
337.51,45.014,777.2,113.54
339.01,45.213,775.6,113.31
340.51,45.413,777.3,113.56
342.01,45.613,777.0,113.51
343.51,45.813,774.6,113.16
345.01,46.014,771.5,112.71
346.51,46.213,768.6,112.29
348.01,46.413,768.8,112.32
349.51,46.613,767.6,112.14
351.01,46.813,766.3,111.95
352.51,47.014,766.1,111.92
354.01,47.213,759.4,110.94
355.51,47.413,760.4,111.09
357.01,47.613,759.3,110.93
358.51,47.813,756.5,110.52
360.01,48.014,755.3,110.34
361.51,48.213,755.0,110.3
363.01,48.413,750.3,109.61
364.51,48.613,750.8,109.69
366.01,48.813,745.7,108.94
367.51,49.013,742.6,108.49
