t,x,F,def
298,51;39,813;219,30;32
300,01;40,014;221,50;32
301,51;40,214;222,10;32
303,01;40,414;221,10;32
304,51;40,613;221,40;32
306,01;40,813;224,20;32
307,51;41,014;223,30;32
309,01;41,214;222,70;32
310,51;41,414;223,80;32
312,01;41,613;223,50;32
313,51;41,813;224,50;32
315,01;42,014;224,30;32
316,51;42,214;225,30;32
318,01;42,414;224,60;32
319,51;42,613;224,60;32
321,01;42,813;223,90;32
322,51;43,014;224,10;32
324,01;43,213;223,80;32
325,51;43,414;224,10;32
327,01;43,613;223,70;32
328,51;43,813;222,80;32
330,01;44,014;223,20;32
331,51;44,214;221,60;32
333,01;44,414;223,60;32
334,51;44,613;222,60;32
336,01;44,813;222,70;32
337,51;45,013;222,40;32
339,01;45,213;223,10;32
340,51;45,414;222,80;32
342,01;45,613;223,60;32
343,51;45,813;223,20;32
345,01;46,013;224,00;32
346,51;46,213;221,50;32
348,01;46,413;222,80;32
349,51;46,613;222,60;32
351,01;46,813;222,60;32
352,51;47,013;222,30;32
354,01;47,213;222,00;32
355,51;47,414;222,70;32
357,01;47,613;220,90;32
358,51;47,813;222,60;32
360,01;48,013;222,20;32
361,51;48,213;222,50;32
363,01;48,413;221,80;32
364,51;48,613;221,70;32
366,01;48,813;220,10;32
367,51;49,013;220,10;32
369,01;49,213;220,20;32
370,51;49,414;219,40;32
372,01;49,613;220,30;32
373,51;49,813;221,80;32
375,01;50,013;220,20;32
376,51;50,213;220,70;32
378,01;50,414;220,10;32
379,51;50,613;219,90;32
381,01;50,813;220,70;32
382,51;51,013;221,20;32
384,01;51,213;219,90;32
385,51;51,413;219,90;32
387,01;51,613;219,80;32
388,51;51,813;220,10;32
390,01;52,013;219,90;32
391,51;52,213;220,30;32
393,01;52,414;217,90;31
394,51;52,613;218,80;31
396,01;52,813;218,40;31
397,51;53,013;217,60;31
399,01;53,213;217,70;31
400,51;53,413;218,30;31
402,01;53,613;218,20;31
403,51;53,813;218,50;31
405,01;54,013;217,70;31
406,51;54,213;217,00;31
408,01;54,413;218,70;31
409,51;54,613;216,50;31
411,01;54,813;216,40;31
412,51;55,013;216,20;31
414,01;55,213;216,10;31
415,51;55,413;215,60;31
417,01;55,613;216,40;31
418,51;55,813;215,60;31
420,01;56,013;214,30;31
421,51;56,213;215,40;31
423,01;56,413;214,30;31
424,51;56,613;215,60;31
426,01;56,813;215,40;31
427,51;57,013;215,20;31
