t,x,F,def
68,63;9,163;16375,70;2392
69,00;9,213;16488,50;2408
69,38;9,263;16614,00;2427
69,75;9,313;16746,50;2446
70,13;9,363;16877,30;2465
70,50;9,413;16981,20;2480
70,88;9,463;17034,30;2488
71,25;9,513;17134,50;2503
71,63;9,563;17234,30;2517
72,00;9,613;17323,50;2530
72,38;9,663;17370,10;2537
72,75;9,713;17436,00;2547
73,13;9,763;17496,30;2556
73,50;9,813;17588,60;2569
73,88;9,863;17524,60;2560
74,25;9,913;17595,30;2570
74,63;9,963;17672,90;2581
75,00;10,013;17576,90;2567
75,38;10,064;17636,90;2576
75,75;10,113;17700,30;2585
76,13;10,163;17703,10;2586
76,50;10,213;17686,80;2583
76,88;10,263;17749,60;2593
77,25;10,313;17824,70;2604
