t,x,F,def
30,38;4,063;4969,80;726
30,75;4,113;5106,60;746
31,13;4,163;5250,80;767
31,50;4,214;5393,60;787
31,88;4,263;5540,80;809
32,26;4,313;5689,10;831
32,63;4,363;5841,70;853
33,01;4,413;5995,50;875
33,38;4,464;6149,90;898
33,76;4,513;6306,50;921
34,13;4,563;6465,40;944
34,51;4,613;6630,30;968
34,88;4,663;6793,60;992
35,26;4,714;6958,20;1016
35,63;4,763;7122,70;1040
36,01;4,813;7292,30;1065
36,38;4,863;7460,60;1089
36,76;4,913;7632,50;1115
37,13;4,964;7806,50;1140
37,51;5,013;7976,00;1165
37,88;5,063;8148,10;1190
38,26;5,114;8320,50;1215
38,63;5,163;8491,40;1240
39,01;5,214;8667,20;1266
39,38;5,264;8843,70;1291
39,76;5,313;9018,20;1317
40,13;5,364;9198,30;1343
40,51;5,413;9373,20;1369
40,88;5,464;9548,60;1394
41,26;5,513;9726,10;1420
41,63;5,563;9900,10;1446
42,01;5,613;10077,90;1472
42,38;5,663;10252,50;1497
42,76;5,713;10428,80;1523
43,13;5,763;10603,70;1549
43,51;5,813;10778,50;1574
43,88;5,863;10952,10;1600
44,26;5,913;11122,80;1624
44,63;5,963;11295,60;1650
45,01;6,013;11461,60;1674
45,38;6,063;11630,00;1699
45,76;6,113;11797,80;1723
46,13;6,163;11959,60;1747
46,51;6,213;12119,50;1770
46,88;6,263;12281,40;1794
47,26;6,313;12437,00;1816
47,63;6,363;12591,80;1839
48,01;6,413;12739,70;1861
48,38;6,463;12883,50;1882
48,76;6,513;13001,20;1899
49,13;6,563;13130,30;1918
49,51;6,613;13245,00;1934
49,88;6,663;13228,60;1932
50,26;6,714;9296,60;1358
50,63;6,763;9554,40;1395
51,01;6,813;9803,50;1432
51,38;6,863;10036,70;1466
51,76;6,913;10258,30;1498
52,13;6,963;10465,90;1528
52,51;7,013;10653,00;1556
52,88;7,063;10832,00;1582
53,26;7,113;11009,40;1608
53,63;7,163;11177,80;1632
54,01;7,213;11337,50;1656
54,38;7,263;11475,30;1676
54,76;7,313;11624,30;1698
55,13;7,364;11770,50;1719
55,51;7,413;11909,70;1739
55,88;7,464;12021,80;1756
56,26;7,513;12144,40;1774
56,63;7,563;12276,40;1793
57,01;7,613;12390,20;1810
57,38;7,663;12511,00;1827
57,76;7,713;12633,20;1845
58,13;7,763;12751,30;1862
58,51;7,813;12869,10;1880
58,88;7,863;12972,60;1895
59,26;7,913;13093,30;1912
59,63;7,963;13207,70;1929
60,01;8,013;13299,20;1942
60,38;8,063;13415,20;1959
60,76;8,113;13528,70;1976
61,13;8,163;13638,90;1992
61,51;8,213;13737,30;2006
61,88;8,263;13833,50;2020
62,26;8,313;13926,00;2034
62,63;8,363;14016,90;2047
63,01;8,413;14075,90;2056
63,38;8,463;14152,30;2067
63,76;8,513;14236,80;2079
64,13;8,563;14304,60;2089
64,50;8,613;14348,90;2096
64,88;8,663;14276,40;2085
65,25;8,714;14199,00;2074
65,63;8,763;14194,60;2073
66,00;8,813;14232,00;2079
66,38;8,863;14250,10;2081
66,75;8,913;14254,70;2082
67,13;8,963;14279,40;2086
67,50;9,013;14310,60;2090
67,88;9,063;14351,50;2096
68,25;9,113;14393,70;2102
68,63;9,163;14431,60;2108
69,00;9,213;14468,10;2113
69,38;9,263;14502,90;2118
69,75;9,313;14539,00;2124
70,13;9,363;14575,80;2129
70,50;9,413;14608,40;2134
70,88;9,463;14636,70;2138
71,25;9,513;14672,80;2143
71,63;9,563;14715,00;2149
72,00;9,613;14744,60;2154
72,38;9,663;14764,80;2157
72,75;9,713;14767,60;2157
73,13;9,764;14752,30;2155
73,50;9,813;14756,50;2155
73,88;9,863;14774,20;2158
74,25;9,913;14779,80;2159
74,63;9,963;14794,30;2161
75,00;10,013;14823,20;2165
75,38;10,063;14863,20;2171
75,75;10,113;14863,60;2171
76,13;10,163;14925,50;2180
76,50;10,214;14982,00;2188
76,88;10,263;15028,10;2195
77,25;10,313;15060,30;2200
77,63;10,363;15081,70;2203
78,00;10,413;15072,70;2202
78,38;10,463;15079,20;2202
78,75;10,513;15100,50;2206
79,13;10,563;15133,70;2210
79,50;10,613;15163,70;2215
79,88;10,663;15169,00;2216
80,25;10,714;15167,40;2215
80,63;10,763;15193,10;2219
81,00;10,813;15241,70;2226
81,38;10,863;15296,50;2234
81,75;10,913;15347,10;2242
82,13;10,963;15403,50;2250
82,50;11,013;15460,70;2258
82,88;11,063;15530,70;2268
83,25;11,113;15600,60;2279
83,63;11,163;15670,20;2289
84,00;11,213;15747,00;2300
84,38;11,263;15816,30;2310
84,75;11,313;15877,70;2319
85,13;11,363;15925,90;2326
85,50;11,413;15959,40;2331
85,88;11,463;15980,40;2334
86,25;11,513;15991,30;2336
86,63;11,563;15955,00;2330
87,00;11,613;15990,80;2336
87,38;11,663;16022,00;2340
87,75;11,714;16075,20;2348
88,13;11,764;16129,20;2356
88,50;11,813;16189,60;2365
88,88;11,863;16216,00;2369
89,25;11,913;16030,70;2341
