t,x,F,def
0,00;0,010;-0,00;-0
0,38;0,064;0,20;0
0,75;0,113;-0,60;-0
1,13;0,163;0,20;0
1,50;0,213;0,60;0
1,88;0,264;-0,50;-0
2,26;0,314;-0,50;-0
2,63;0,363;-1,50;-0
3,01;0,414;-0,00;-0
3,38;0,463;-0,10;-0
3,76;0,513;-0,10;-0
4,13;0,563;1,60;0
4,51;0,613;4,20;0
4,88;0,664;7,80;1
5,26;0,714;12,90;1
5,63;0,763;15,70;2
6,01;0,813;23,50;3
6,38;0,863;31,50;4
6,76;0,914;41,70;6
7,13;0,964;52,00;7
7,51;1,013;65,30;9
7,88;1,063;79,00;11
8,26;1,113;100,60;14
8,63;1,163;128,90;18
9,01;1,214;159,60;23
9,38;1,263;193,30;28
9,76;1,314;232,30;33
10,13;1,363;271,70;39
10,51;1,413;313,80;45
10,88;1,464;358,00;52
11,26;1,513;404,70;59
11,63;1,563;449,90;65
12,01;1,613;503,10;73
12,38;1,663;555,40;81
12,76;1,714;611,40;89
13,13;1,763;668,60;97
13,51;1,814;728,10;106
13,88;1,863;790,20;115
14,26;1,913;854,50;124
14,63;1,964;921,30;134
15,01;2,013;988,60;144
15,38;2,063;1058,90;154
15,76;2,114;1133,00;165
16,13;2,164;1208,90;176
16,50;2,214;1285,80;187
16,88;2,263;1365,80;199
17,25;2,313;1449,00;211
17,63;2,364;1536,50;224
18,00;2,413;1624,00;237
18,38;2,464;1715,70;250
18,75;2,513;1808,20;264
19,13;2,563;1902,90;278
19,50;2,614;1997,10;291
19,88;2,664;2094,10;305
20,25;2,714;2190,20;319
20,63;2,763;2286,90;334
21,00;2,813;2387,50;348
21,38;2,864;2482,80;362
21,75;2,914;2575,90;376
22,13;2,964;2666,10;389
22,50;3,013;2747,70;401
22,88;3,063;2821,30;412
23,25;3,114;2895,50;423
23,63;3,164;2970,80;434
24,00;3,214;3054,50;446
24,38;3,263;3144,30;459
24,75;3,313;3239,50;473
25,13;3,363;3340,60;488
25,50;3,413;3439,50;502
25,88;3,464;3542,20;517
26,25;3,513;3643,60;532
26,63;3,563;3750,90;547
27,00;3,613;3861,90;564
27,38;3,664;3977,40;581
27,75;3,714;4092,90;597
28,13;3,763;4211,70;615
28,50;3,813;4333,50;633
28,88;3,863;4456,80;651
29,25;3,913;4581,90;669
29,63;3,964;4706,00;687
30,00;4,013;4837,80;706
