t,x,F,def
0,00;0,009;9,70;1
1,50;0,213;14,60;2
3,01;0,414;20,50;2
4,51;0,613;25,60;3
6,01;0,813;33,00;4
7,51;1,013;38,20;5
9,01;1,214;45,30;6
10,51;1,413;50,00;7
12,01;1,613;58,20;8
13,51;1,814;63,10;9
15,01;2,013;69,00;10
16,50;2,214;76,30;11
18,00;2,414;82,80;12
19,50;2,614;88,90;12
21,00;2,813;96,40;14
22,50;3,013;103,40;15
24,00;3,214;109,70;16
25,50;3,414;115,90;16
27,00;3,614;122,50;17
28,50;3,813;130,70;19
30,00;4,014;136,20;19
31,50;4,214;142,80;20
33,01;4,413;149,60;21
34,51;4,614;155,60;22
36,01;4,813;162,70;23
37,51;5,014;167,40;24
39,01;5,214;172,90;25
40,51;5,413;178,60;26
42,01;5,614;184,10;26
43,51;5,813;192,30;28
45,01;6,014;196,70;28
46,51;6,214;203,60;29
48,01;6,413;207,40;30
49,51;6,614;213,40;31
51,01;6,813;221,80;32
52,51;7,014;226,40;33
54,01;7,214;231,20;33
55,51;7,413;237,40;34
57,01;7,613;243,80;35
58,51;7,813;247,10;36
60,01;8,014;254,30;37
61,51;8,214;260,60;38
63,01;8,413;263,60;38
64,50;8,613;270,50;39
66,00;8,813;275,10;40
67,50;9,014;279,50;40
69,00;9,214;284,30;41
70,50;9,413;288,80;42
72,00;9,613;292,60;42
73,50;9,813;297,90;43
75,00;10,014;301,00;43
76,50;10,214;306,20;44
78,00;10,413;309,30;45
79,50;10,613;312,80;45
81,00;10,813;316,70;46
82,50;11,014;319,00;46
84,00;11,214;323,00;47
85,50;11,413;325,70;47
87,00;11,613;328,00;47
88,50;11,813;332,70;48
90,00;12,014;334,20;48
91,50;12,214;335,50;49
93,00;12,413;336,10;49
94,50;12,613;337,50;49
96,00;12,813;339,40;49
97,50;13,014;338,80;49
99,00;13,214;322,70;47
100,50;13,413;232,60;33
102,00;13,613;199,60;29
103,50;13,813;131,80;19
105,00;14,014;123,60;18
111,65;4,877;145,70;21
113,15;4,976;149,20;21
114,65;5,076;152,80;22
116,15;5,176;156,70;22
117,65;5,276;158,70;23
119,15;5,377;161,90;23
120,65;5,477;165,20;24
122,15;5,576;168,10;24
123,65;5,676;171,40;25
125,15;5,776;173,70;25
126,65;5,877;177,60;25
128,15;5,976;180,30;26
129,65;6,076;183,10;26
131,15;6,176;185,20;27
132,65;6,276;188,10;27
134,15;6,377;191,20;27
135,65;6,476;194,00;28
137,15;6,576;198,10;28
138,65;6,676;199,60;29
140,15;6,776;203,40;29
141,65;6,877;207,20;30
143,15;6,976;210,00;30
144,65;7,076;212,90;31
146,15;7,176;216,30;31
147,65;7,276;218,40;31
149,15;7,377;220,70;32
150,65;7,477;222,70;32
152,15;7,576;225,80;32
153,65;7,676;230,10;33
155,15;7,776;231,10;33
156,65;7,877;235,80;34
158,15;7,976;238,30;34
159,65;8,076;239,60;35
161,15;8,176;243,50;35
162,65;8,276;246,70;36
164,15;8,377;248,40;36
165,65;8,476;251,30;36
167,15;8,576;255,30;37
168,65;8,677;257,10;37
170,15;8,776;259,20;37
171,65;8,877;261,60;38
173,15;8,976;265,00;38
174,65;9,076;267,40;39
176,15;9,176;271,50;39
177,65;9,276;272,90;39
179,15;9,377;274,70;40
180,65;9,476;277,40;40
182,15;9,576;281,70;41
183,65;9,677;282,80;41
185,15;9,776;285,80;41
