# SCAN started at: 2024-10-10 15:31:46
# Elen_Scan Mass: 35 Resolution: 30
# ----------------------------------------
# 
1.8	-1.473	-0.895
1.81	-1.099	-1.212
1.82	-1.055	-1.37
1.83	-1.011	-1.18
1.84	-1.207	-1.293
1.85	-1.499	-1.204
1.86	-1.468	-1.281
1.87	-1.362	-1.141
1.88	-1.299	-1.289
1.89	-1.54	-1.188
1.9	-1.608	-1.284
1.91	-1.441	-1.147
1.92	-1.367	-1.201
1.93	-1.912	-1.109
1.94	-1.482	-1.523
1.95	-2.224	-1.249
1.96	-1.747	-1.759
1.97	-1.837	-1.734
1.98	-2.972	-1.396
1.99	-2.432	-1.942
2	-3.893	-1.567
2.01	-4.793	-2.137
2.02	-5.801	-2.484
2.03	-6.183	-1.93
2.04	-8.035	-2.045
2.05	-11.46	-2.544
2.06	-15.57	-2.817
2.07	-17.9	-3.492
2.08	-22.62	-4.168
2.09	-28.17	-6.581
2.1	-31.74	-8.236
2.11	-35.27	-10.2
2.12	-38.31	-12.32
2.13	-41.92	-15.95
2.14	-44.18	-18.76
2.15	-46.77	-21.35
2.16	-48.74	-23.94
2.17	-51.16	-25.95
2.18	-54.03	-27.7
2.19	-55.93	-29.5
2.2	-57.76	-32.15
2.21	-59.52	-32.97
2.22	-61.91	-35.63
2.23	-63.22	-38.13
2.24	-65.08	-40.07
2.25	-65.98	-41.14
2.26	-68.43	-43.64
2.27	-69.56	-45.96
2.28	-70.58	-47.64
2.29	-70.92	-49.34
2.3	-71.73	-50.41
2.31	-73.76	-52.7
2.32	-74.36	-54.15
2.33	-74.12	-55.85
2.34	-74.99	-57.34
2.35	-76.54	-58.86
2.36	-75.91	-60.21
2.37	-77.24	-61.35
2.38	-77.66	-62.69
2.39	-78.1	-64.16
2.4	-78.45	-65.22
2.41	-77.59	-66
2.42	-78.75	-66.98
2.43	-78.67	-68.51
2.44	-79.03	-68.53
2.45	-78.19	-69.47
2.46	-79.18	-70.12
2.47	-78.33	-71.42
2.48	-78.34	-72.38
2.49	-79.18	-72.7
2.5	-78.75	-72.28
2.51	-78.93	-73.55
2.52	-78.81	-73.85
2.53	-78.66	-73.16
2.54	-78.7	-73.48
2.55	-78.55	-74.52
2.56	-77.84	-74.68
2.57	-77.72	-73.96
2.58	-77.69	-73.98
2.59	-77.96	-74.15
2.6	-77.7	-74.2
2.61	-77.8	-74.32
2.62	-77.79	-74.56
2.63	-77.89	-74.7
2.64	-77.75	-74.83
2.65	-77.8	-74.63
2.66	-77.14	-74.78
2.67	-76.92	-74.92
2.68	-77.74	-75.98
2.69	-77.73	-75.8
2.7	-77.59	-75.3
2.71	-76.62	-75.68
2.72	-76.57	-75.75
2.73	-77.37	-75.62
2.74	-77.49	-75.73
2.75	-76.31	-75.79
2.76	-76.99	-75.7
2.77	-77.27	-76
