# SCAN started at: 2024-10-10 16:28:50
# Elen_Scan Mass: 127.7 Resolution: 30
# ----------------------------------------
# XGS1: >3.011E-07,0.000E+00,0.000E+00,OPEN     ,1.333E-04
# XGS2: >0.000E+00,0.000E+00,OPEN     ,1.393E+00,OPEN     ,OPEN
# 2024-10-10 16:44:24
# 
1.5,3.6,0,2,9,2,5
1.52,4,10,3,5,2,0
1.54,4.6,5,1,3,9,5
1.56,3,1,3,8,3,0
1.58,4.4,3,0,8,8,3
1.6,1.6,0,2,0,6,0
1.62,2.4,0,2,0,6,4
1.64,2.2,1,0,0,10,0
1.66,1.6,0,0,2,0,6
1.68,3,10,4,0,0,1
1.7,3.2,4,3,2,3,4
1.72,7.2,6,8,3,9,10
1.74,5.4,14,3,0,3,7
1.76,1.8,4,0,0,1,4
1.78,3.2,4,0,3,6,3
1.8,4,6,2,3,4,5
1.82,4,3,8,7,0,2
1.84,4.2,5,6,8,1,1
1.86,2.8,1,4,1,0,8
1.88,4,6,0,6,4,4
1.9,5.6,1,3,1,13,10
1.92,8.2,7,14,12,2,6
1.94,6.6,9,3,8,7,6
1.96,8.6,8,10,15,6,4
1.98,9,12,9,6,11,7
2,12,21,17,4,3,15
2.02,19.4,36,17,15,23,6
2.04,35.4,58,26,29,37,27
2.06,53.8,79,67,44,39,40
2.08,124,186,114,97,109,114
2.1,204.6,261,210,201,186,165
2.12,315.4,387,316,266,308,300
2.14,413.4,450,421,355,425,416
2.16,474.6,532,483,472,470,416
2.18,542,584,529,569,484,544
2.2,555.8,547,515,590,587,540
2.22,560.2,590,532,573,528,578
2.24,540,564,554,517,529,536
2.26,556.6,613,568,554,512,536
2.28,558,554,559,566,517,594
2.3,560.2,609,569,564,530,529
2.32,574,568,573,615,581,533
2.34,566,617,534,537,614,528
2.36,575.6,618,624,545,548,543
2.38,588.2,656,600,576,530,579
2.4,568.6,628,572,562,538,543
2.42,586.6,599,584,621,534,595
2.44,596.4,653,571,595,619,544
2.46,619.2,665,610,616,624,581
2.48,599.4,639,608,617,562,571
2.5,628.2,724,673,594,595,555
2.52,629.8,669,602,630,633,615
2.54,612.8,646,628,601,576,613
2.56,607.6,656,588,564,636,594
2.58,592.2,638,555,598,597,573
2.6,558.8,574,573,584,534,529
2.62,548,618,521,548,518,535
2.64,509.8,548,521,498,525,457
2.66,501.8,556,464,512,476,501
2.68,429.2,503,425,429,381,408
2.7,418.6,447,417,374,436,419
2.72,395.4,449,387,389,380,372
2.74,360.4,382,357,377,356,330
2.76,333.2,377,304,360,327,298
2.78,306.8,311,325,300,310,288
2.8,297.4,302,318,289,264,314
2.82,266.2,313,247,261,267,243
2.84,238.8,268,214,261,219,232
2.86,221,217,213,220,229,226
2.88,200.2,214,194,188,203,202
2.9,171.8,183,158,179,159,180
2.92,165,187,166,176,157,139
2.94,150,150,161,157,145,137
2.96,143.6,159,133,137,161,128
2.98,130.8,116,150,137,142,109
3,117.8,113,137,119,99,121
3.02,111,114,117,122,120,82
3.04,82.6,88,76,76,92,81
3.06,88.8,85,103,86,83,87
3.08,81,96,72,90,63,84
3.1,74.2,92,60,78,63,78
3.12,71.2,83,79,73,68,53
3.14,67.4,73,58,60,70,76
3.16,71,74,81,49,83,68
3.18,54.2,65,53,48,54,51
3.2,59.4,62,75,58,48,54
3.22,50.2,59,54,52,40,46
3.24,48,51,53,48,46,42
3.26,44.6,41,54,45,39,44
3.28,36.2,31,41,35,41,33
3.3,35.8,33,40,35,33,38
3.32,33,31,45,31,38,20
3.34,39.2,36,29,53,46,32
3.36,33.2,42,29,25,39,31
3.38,27,43,31,17,20,24
3.4,30.2,38,34,31,23,25
3.42,28.6,33,23,25,34,28
3.44,24.8,20,30,28,20,26
3.46,26.4,26,20,22,35,29
3.48,19.4,27,18,21,23,8
3.5,19.6,29,17,22,10,20
3.52,21.4,27,22,25,19,14
3.54,17,13,14,15,18,25
3.56,21.4,28,24,18,18,19
3.58,19,26,21,19,14,15
3.6,17.4,15,18,25,17,12
3.62,17.8,18,12,14,18,27
3.64,15.6,12,16,27,11,12
3.66,15.6,18,15,10,14,21
3.68,14.8,17,17,15,12,13
3.7,13.2,15,15,10,14,12
3.72,10.2,14,9,8,11,9
3.74,11,11,10,18,11,5
3.76,12,14,15,14,9,8
3.78,10.8,10,9,14,10,11
3.8,8.6,11,10,10,6,6
3.82,10.2,7,8,12,5,19
3.84,10.8,10,20,6,9,9
3.86,11,9,9,11,12,14
3.88,13.2,14,6,13,16,17
3.9,8.4,7,6,8,9,12
3.92,8.6,10,5,13,12,3
3.94,6.4,7,11,6,2,6
3.96,10.4,5,18,14,7,8
3.98,8.6,10,18,5,7,3
4,9,13,4,11,10,7
