# SCAN started at: 2024-10-10 15:46:41
# Elen_Scan Mass: 146.6 Resolution: 30
# ----------------------------------------
# XGS1: >3.917E-07,0.000E+00,0.000E+00,OPEN     ,1.333E-04
# XGS2: >0.000E+00,0.000E+00,OPEN     ,1.390E+00,OPEN     ,OPEN
# 2024-10-10 15:53:55
# 
1.5,4.5,6,3
1.51,6.5,4,9
1.52,5,4,6
1.53,4,1,7
1.54,8,7,9
1.55,7,8,6
1.56,9.5,14,5
1.57,12.5,9,16
1.58,6,8,4
1.59,6,4,8
1.6,9.5,10,9
1.61,3.5,1,6
1.62,7.5,12,3
1.63,10.5,12,9
1.64,9,7,11
1.65,11.5,8,15
1.66,9.5,9,10
1.67,13,16,10
1.68,15.5,18,13
1.69,9,15,3
1.7,20.5,14,27
1.71,20.5,14,27
1.72,24,26,22
1.73,25.5,23,28
1.74,26.5,37,16
1.75,26,24,28
1.76,30,42,18
1.77,28.5,28,29
1.78,42,49,35
1.79,46.5,59,34
1.8,34,44,24
1.81,57,57,57
1.82,53,57,49
1.83,80.5,93,68
1.84,81.5,102,61
1.85,85,108,62
1.86,88,93,83
1.87,143,166,120
1.88,135.5,139,132
1.89,168.5,202,135
1.9,203,236,170
1.91,225,255,195
1.92,277,340,214
1.93,340,408,272
1.94,406,480,332
1.95,486,566,406
1.96,630.5,706,555
1.97,814,904,724
1.98,1072,1222,923
1.99,1509,1756,1262
2,2254,2659,1848
2.01,3202,3842,2561
2.02,4520,5381,3660
2.03,6486,7672,5301
2.04,9886,1.174e+04,8030
2.05,1.351e+04,1.563e+04,1.139e+04
2.06,1.738e+04,1.998e+04,1.478e+04
2.07,2.183e+04,2.483e+04,1.882e+04
2.08,2.8e+04,3.142e+04,2.458e+04
2.09,3.248e+04,3.594e+04,2.903e+04
2.1,3.642e+04,3.992e+04,3.293e+04
2.11,3.984e+04,4.327e+04,3.641e+04
2.12,4.179e+04,4.459e+04,3.898e+04
2.13,4.173e+04,4.42e+04,3.927e+04
2.14,4.075e+04,4.236e+04,3.915e+04
2.15,3.863e+04,3.985e+04,3.742e+04
2.16,3.582e+04,3.663e+04,3.501e+04
2.17,3.136e+04,3.182e+04,3.091e+04
2.18,2.775e+04,2.799e+04,2.75e+04
2.19,2.381e+04,2.398e+04,2.364e+04
2.2,2.074e+04,2.058e+04,2.091e+04
2.21,1.662e+04,1.67e+04,1.654e+04
2.22,1.415e+04,1.413e+04,1.418e+04
2.23,1.169e+04,1.166e+04,1.172e+04
2.24,9748,9784,9712
2.25,7512,7475,7550
2.26,6217,6097,6337
2.27,5137,5015,5259
2.28,4196,4061,4330
2.29,3414,3402,3426
2.3,2701,2717,2685
2.31,2203,2201,2205
2.32,1778,1805,1750
2.33,1458,1467,1448
2.34,1108,1116,1099
2.35,938,933,943
2.36,754,720,788
2.37,617,625,609
2.38,460,456,464
2.39,378.5,370,387
2.4,314.5,306,323
2.41,257,258,256
2.42,194,202,186
2.43,162,165,159
2.44,137,135,139
2.45,128,121,135
2.46,91.5,86,97
2.47,70,67,73
2.48,66,62,70
2.49,61.5,66,57
2.5,51.5,61,42
2.51,59,61,57
2.52,38.5,39,38
2.53,37,42,32
2.54,34.5,37,32
2.55,37.5,35,40
2.56,35.5,36,35
2.57,38,38,38
2.58,37,35,39
2.59,28.5,30,27
2.6,24,22,26
2.61,19,25,13
2.62,39.5,40,39
2.63,31,33,29
2.64,28,21,35
2.65,22,25,19
2.66,15,18,12
2.67,19,27,11
2.68,22,31,13
2.69,21.5,24,19
2.7,28,25,31
2.71,19,17,21
2.72,20,20,20
2.73,23.5,21,26
2.74,17,14,20
2.75,14.5,13,16
2.76,26.5,35,18
2.77,19,30,8
2.78,20,18,22
2.79,17.5,19,16
2.8,17,15,19
2.81,21,16,26
2.82,21.5,21,22
2.83,16,24,8
2.84,17.5,20,15
2.85,14.5,16,13
2.86,17.5,26,9
2.87,16.5,23,10
2.88,15,14,16
2.89,11,11,11
2.9,12,9,15
2.91,9,8,10
2.92,13,10,16
2.93,15.5,11,20
2.94,6,5,7
2.95,10,10,10
2.96,11.5,17,6
2.97,14.5,15,14
2.98,12.5,22,3
2.99,8.5,12,5
3,6,5,7
