# SCAN started at: 2024-10-10 16:28:50
# Elen_Scan Mass: 127.7 Resolution: 30
# ----------------------------------------
# 
1.5	-0.7627	-1.416	-0.6477	-0.5367	-1.297
1.52	-1.456	-1.458	-0.6575	-0.5898	-1.255
1.54	-1.007	-1.362	-0.714	-0.6527	-1.542
1.56	-1.05	-0.552	-0.8911	-1.182	-1.507
1.58	-1.183	-0.6076	-1.339	-1.109	-0.4097
1.6	-0.9893	-1.342	-0.736	-1.13	-0.3907
1.62	-1.048	-1.469	-1.512	-0.8303	-1.498
1.64	-0.9098	-0.6333	-0.4952	-1.47	-0.5427
1.66	-1.005	-0.7051	-1.481	-1.505	-1.509
1.68	-1.085	-1.475	-0.6363	-1.531	-1.358
1.7	-0.8801	-1.401	-0.6832	-0.4119	-1.406
1.72	-1.325	-0.6159	-1.022	-0.531	-0.7057
1.74	-0.8485	-0.6673	-0.8689	-0.7948	-0.7787
1.76	-0.9974	-1.45	-1.22	-0.883	-1.348
1.78	-0.8028	-0.7202	-1.476	-1.225	-1.231
1.8	-0.9052	-0.7506	-0.518	-1.363	-1.255
1.82	-1.065	-1.478	-0.512	-1.485	-1.177
1.84	-0.9055	-1.361	-1.515	-1.583	-1.198
1.86	-0.9885	-1.099	-1.605	-1.604	-1.235
1.88	-0.8392	-0.9207	-0.8118	-1.647	-1.025
1.9	-0.9088	-1.099	-1.358	-1.628	-1.058
1.92	-1.672	-1.111	-1.057	-0.9168	-1.412
1.94	-1.659	-1.45	-1.024	-1.145	-1.589
1.96	-1.906	-1.443	-0.9363	-1.46	-1.064
1.98	-1.94	-1.595	-1.888	-1.261	-0.9867
2	-1.659	-1.427	-1.98	-1.256	-1.09
2.02	-1.991	-1.377	-2.121	-1.332	-1.142
2.04	-1.519	-1.559	-1.458	-1.383	-1.343
2.06	-2.203	-1.903	-1.781	-1.795	-1.774
2.08	-3.604	-2.935	-2.689	-3.138	-2.004
2.1	-5.26	-4.115	-3.611	-2.975	-2.977
2.12	-7.622	-5.996	-5.231	-5.42	-5.629
2.14	-12.11	-9.829	-8.791	-8.826	-8.882
2.16	-17.42	-14.71	-12.73	-12.76	-12.26
2.18	-22.44	-18.43	-17.32	-18.31	-18.46
2.2	-26.62	-23.43	-23.09	-23.52	-24.07
2.22	-30.01	-26.68	-27.59	-26.93	-27.78
2.24	-34.24	-31.31	-31.44	-30.65	-31.75
2.26	-37.7	-34.95	-34.11	-33.98	-35.1
2.28	-42.14	-39.18	-38.58	-39.29	-39.45
2.3	-45.66	-41.89	-42.15	-41.7	-43.06
2.32	-49.9	-45.84	-45.72	-46.14	-46.12
2.34	-53.24	-49.47	-49	-49.42	-49.36
2.36	-56.05	-53.13	-53.83	-53.35	-54.21
2.38	-58.79	-56.07	-55.65	-56.42	-57.28
2.4	-61.6	-58.58	-59.77	-59.88	-60.33
2.42	-63.04	-61.67	-60.85	-62.45	-61.71
2.44	-65.57	-63.11	-64.18	-65.15	-64.33
2.46	-67.21	-65.67	-66.58	-67.13	-66.19
2.48	-68.52	-67.33	-68.19	-68.86	-69.03
2.5	-69.65	-70.05	-69.71	-70.49	-69.7
2.52	-71.52	-70.12	-70.22	-70.89	-72.16
2.54	-72.18	-70.93	-71.05	-71.85	-72.99
2.56	-71.6	-72.51	-71.99	-72.88	-72.58
2.58	-72.7	-72.97	-72.01	-73.57	-73.89
2.6	-73.08	-72.41	-72.9	-74.28	-74.55
2.62	-72.42	-72.64	-73.15	-74.66	-74.62
2.64	-72.43	-73.35	-73.97	-74.94	-74.83
2.66	-73.1	-73.32	-74.31	-75.27	-74.74
2.68	-72.92	-73.19	-73.91	-75.21	-74.66
2.7	-73.23	-73.38	-73.97	-75.23	-74.93
2.72	-72.64	-73.27	-73.83	-74.31	-74.95
2.74	-72.87	-73.24	-73.59	-74.53	-75.07
2.76	-73.35	-73.98	-74.62	-74.42	-75.04
2.78	-73.34	-73.29	-73.9	-74.8	-75.06
2.8	-73.4	-73.24	-73.85	-75.01	-75.42
2.82	-73.65	-73.26	-73.94	-75.17	-75.57
2.84	-73.84	-73.56	-74.27	-75.6	-75.82
2.86	-74.17	-73.71	-74.57	-75.75	-75.84
2.88	-74.39	-75.14	-75.5	-76.07	-75.57
2.9	-74.1	-75.34	-74.67	-76.32	-76.15
2.92	-74.76	-75.5	-75.5	-76.54	-76.35
2.94	-75.02	-75.57	-75.65	-76.67	-76.59
2.96	-74.35	-75.71	-75.98	-75.71	-76.58
2.98	-74.56	-75.81	-76.33	-76.97	-76.8
3	-75.4	-75.26	-76.55	-77.05	-76.93
3.02	-75.72	-75.44	-76.66	-77.16	-77.08
3.04	-75.95	-75.94	-76.84	-77.05	-77.36
3.06	-74.95	-75.99	-76.91	-77.27	-77.43
3.08	-74.93	-76.18	-76.01	-77.37	-77.64
3.1	-76.02	-76.49	-76.51	-77.36	-77.8
3.12	-75.65	-76.71	-76.95	-77.32	-77.99
3.14	-76.03	-77.11	-76.92	-77.33	-78.08
3.16	-76.18	-77.13	-76.6	-78	-77.27
3.18	-76.08	-76.28	-77.66	-77.26	-78.36
3.2	-76.26	-76.56	-76.75	-77.37	-78.6
3.22	-76.99	-77.69	-78.23	-77.6	-78.64
3.24	-76.95	-77.78	-78.04	-77.87	-78.95
3.26	-77.37	-77.34	-78.54	-78.05	-79.08
3.28	-77.42	-77.52	-78.51	-78.05	-78.09
3.3	-77.83	-77.8	-78.39	-78.36	-78.32
3.32	-77.04	-77.74	-78.32	-78.39	-79.56
3.34	-77.28	-77.89	-78.76	-78.61	-79.7
3.36	-78.57	-78.11	-78.94	-78.89	-79.91
3.38	-77.88	-78.15	-78.91	-79.11	-80.13
3.4	-78.03	-78.26	-79.42	-80.14	-80.47
3.42	-79.23	-79.61	-79.33	-79.3	-80.56
3.44	-79.42	-79.8	-80.28	-80.59	-80.64
3.46	-79.73	-79.1	-80.06	-80.75	-80.97
3.48	-78.98	-79.58	-80.82	-79.81	-81.08
3.5	-79.38	-79.8	-79.83	-81.27	-81.43
3.52	-80.42	-80.23	-80.67	-80.52	-81.57
3.54	-80.52	-80.59	-81.03	-80.87	-81.71
3.56	-80.24	-81.11	-81.34	-81.8	-81.86
3.58	-80.97	-80.53	-81.25	-81.76	-81.15
3.6	-81.29	-80.71	-81.68	-82.33	-82.53
3.62	-80.82	-81.94	-81.97	-82.49	-82.72
3.64	-81.24	-82.23	-81.91	-82.59	-82.84
3.66	-81.79	-81.4	-82.36	-82.81	-82.15
3.68	-82.13	-81.81	-82.13	-83.01	-82.66
3.7	-81.82	-82.91	-83.38	-82.62	-83.54
3.72	-82.67	-82.17	-83.1	-82.93	-82.84
3.74	-82.8	-82.4	-83.16	-83.38	-83
3.76	-82.28	-83.32	-82.39	-83.12	-83.76
3.78	-82.53	-83.58	-83.61	-83.57	-83.59
3.8	-82.72	-83.49	-82.96	-84.09	-83.98
3.82	-83.49	-83.58	-83.36	-83.6	-84.03
3.84	-83.74	-83.9	-83.82	-84.76	-84.31
3.86	-83.25	-84.3	-84.13	-84.81	-84.77
3.88	-83.37	-83.65	-83.74	-85.27	-85
3.9	-84.32	-83.84	-84.66	-84.96	-84.45
3.92	-84.09	-84.92	-84.94	-85.3	-85.31
3.94	-84.16	-85.2	-84.99	-85.31	-85.59
3.96	-84.85	-84.4	-84.53	-85.53	-85.92
3.98	-85.32	-84.69	-84.27	-85.3	-85.07
4	-85.56	-85.56	-84.67	-85.66	-85.17
