# SCAN started at: 2024-10-10 15:46:41
# Elen_Scan Mass: 146.6 Resolution: 30
# ----------------------------------------
# 
1.5	-0.9175	-1.074
1.51	-0.6824	-0.9293
1.52	-1.006	-1.094
1.53	-1.08	-0.7906
1.54	-0.9987	-1.132
1.55	-0.8511	-1.172
1.56	-0.946	-0.6147
1.57	-0.8021	-0.7337
1.58	-0.8858	-1.326
1.59	-0.7786	-1.323
1.6	-0.6678	-1.485
1.61	-1.311	-0.659
1.62	-1.324	-0.5057
1.63	-1.382	-1.498
1.64	-1.554	-1.657
1.65	-1.544	-0.5358
1.66	-1.517	-0.4509
1.67	-1.489	-0.7157
1.68	-1.52	-1.454
1.69	-1.632	-1.413
1.7	-0.56	-0.884
1.71	-0.5352	-1.153
1.72	-0.5743	-1.07
1.73	-0.6454	-1.164
1.74	-0.8016	-1.143
1.75	-0.7348	-1.228
1.76	-0.7872	-0.7333
1.77	-0.8739	-1.236
1.78	-1.005	-0.6577
1.79	-1.068	-1.437
1.8	-0.9804	-1.472
1.81	-1.12	-1.503
1.82	-1.085	-1.612
1.83	-0.918	-1.549
1.84	-1.045	-0.741
1.85	-0.9301	-0.7506
1.86	-0.8569	-0.6737
1.87	-0.9095	-1.633
1.88	-0.8077	-1.696
1.89	-0.9542	-0.823
1.9	-0.8488	-0.9248
1.91	-0.7444	-0.8832
1.92	-0.8142	-0.8496
1.93	-0.9179	-1.756
1.94	-1.138	-2.007
1.95	-1.121	-1.885
1.96	-1.352	-1.941
1.97	-1.42	-1.044
1.98	-1.627	-1.132
1.99	-1.919	-1.225
2	-1.985	-1.331
2.01	-1.906	-2.332
2.02	-1.868	-2.707
2.03	-2.21	-2.844
2.04	-2.392	-2.09
2.05	-2.807	-2.558
2.06	-4.484	-4.096
2.07	-5.471	-4.87
2.08	-5.633	-4.718
2.09	-7.815	-7.501
2.1	-9.948	-8.268
2.11	-12.8	-11.65
2.12	-15.26	-14.12
2.13	-19.13	-16.86
2.14	-22.21	-21.01
2.15	-24.86	-24.02
2.16	-27.31	-25.49
2.17	-29.44	-27.89
2.18	-32	-31.83
2.19	-33.91	-33.97
2.2	-35.88	-35.8
2.21	-37.59	-37.52
2.22	-40.36	-40.19
2.23	-42.1	-42.07
2.24	-44.28	-44.06
2.25	-46	-46.04
2.26	-48.42	-47.53
2.27	-50.35	-49.26
2.28	-51.98	-52.08
2.29	-53.66	-53.76
2.3	-55.48	-55.38
2.31	-57.34	-56.47
2.32	-58.83	-57.92
2.33	-60.36	-60.42
2.34	-61.55	-61.69
2.35	-62.43	-62.55
2.36	-63.64	-63.72
2.37	-65.85	-65.88
2.38	-65.98	-67.21
2.39	-67.6	-68.6
2.4	-68.63	-68.73
2.41	-69.58	-70.57
2.42	-70.52	-71.61
2.43	-72.26	-72.23
2.44	-72.98	-73
2.45	-73.45	-74.38
2.46	-73.99	-74.91
2.47	-74.5	-75.06
2.48	-75.04	-75.83
2.49	-75.26	-76.34
2.5	-75.62	-77.11
2.51	-76.47	-76.81
2.52	-76.78	-77.31
2.53	-76.36	-78.03
2.54	-77.15	-78.31
2.55	-77.37	-77.83
2.56	-76.78	-78.01
2.57	-76.89	-78.88
2.58	-77.85	-78.76
2.59	-77.87	-78.31
2.6	-77.14	-78.28
2.61	-78.09	-78.46
2.62	-78.15	-79.09
2.63	-77.32	-78.62
2.64	-77.4	-79.15
2.65	-78.41	-79.21
2.66	-78.46	-78.67
2.67	-78.4	-79.24
2.68	-78.35	-78.51
2.69	-77.47	-79.26
2.7	-78.5	-79.28
2.71	-78.43	-78.44
2.72	-78.27	-78.53
2.73	-77.78	-79.57
2.74	-77.92	-79.51
2.75	-78.16	-79.55
2.76	-78.12	-78.45
2.77	-78.35	-78.59
2.78	-78.41	-79.48
2.79	-78.24	-79.48
2.8	-78.58	-79.27
2.81	-77.91	-78.91
2.82	-77.97	-78.93
2.83	-77.94	-79.12
2.84	-77.95	-79.29
2.85	-77.87	-79.04
2.86	-78.94	-79.39
2.87	-79.02	-79.4
2.88	-77.97	-78.85
2.89	-77.92	-79.45
2.9	-78.11	-78.84
2.91	-79.29	-79.83
2.92	-79.27	-79.89
2.93	-78.28	-78.94
2.94	-78.41	-78.85
2.95	-79.26	-78.91
2.96	-79.33	-79.07
2.97	-78.6	-78.99
2.98	-78.57	-80.01
2.99	-78.68	-80
3	-79.22	-79.07
