
Zeit;Weg;Kraft;Biegespannung;
s;mm;N;N/mm²;
0,00;0,009;9,70;1,42;
0,01;0,010;9,10;1,33;
0,01;0,012;9,30;1,36;
0,02;0,012;9,40;1,37;
0,03;0,013;9,30;1,36;
0,03;0,014;9,00;1,31;
0,04;0,015;8,90;1,30;
0,04;0,015;8,70;1,27;
0,05;0,016;9,60;1,40;
0,05;0,017;10,20;1,49;
0,05;0,018;10,20;1,49;
0,06;0,019;10,60;1,55;
0,06;0,020;10,40;1,52;
0,07;0,021;10,50;1,53;
0,08;0,022;9,90;1,45;
0,08;0,022;9,80;1,43;
0,09;0,023;9,40;1,37;
0,09;0,023;9,90;1,45;
0,09;0,024;10,40;1,52;
0,10;0,025;9,70;1,42;
0,10;0,026;9,90;1,45;
0,11;0,026;9,50;1,39;
0,12;0,027;9,40;1,37;
0,12;0,028;9,80;1,43;
0,13;0,029;9,00;1,31;
0,13;0,030;8,60;1,26;
0,14;0,031;9,40;1,37;
0,14;0,031;9,50;1,39;
0,14;0,032;10,20;1,49;
0,15;0,032;10,20;1,49;
0,16;0,033;9,80;1,43;
0,16;0,034;9,90;1,45;
0,17;0,034;9,60;1,40;
0,17;0,035;10,20;1,49;
0,17;0,036;10,10;1,48;
0,18;0,036;10,20;1,49;
0,19;0,037;10,30;1,50;
0,19;0,038;10,10;1,48;
0,19;0,038;10,20;1,49;
0,20;0,039;9,50;1,39;
0,20;0,040;10,50;1,53;
0,21;0,041;10,50;1,53;
0,22;0,041;10,20;1,49;
0,22;0,042;10,70;1,56;
0,22;0,043;9,40;1,37;
0,23;0,043;9,50;1,39;
0,23;0,044;10,40;1,52;
0,24;0,045;10,30;1,50;
0,25;0,045;10,70;1,56;
0,25;0,046;10,60;1,55;
0,25;0,047;10,20;1,49;
0,26;0,047;10,10;1,48;
0,26;0,048;10,20;1,49;
0,27;0,049;10,10;1,48;
0,28;0,049;9,90;1,45;
0,28;0,050;10,60;1,55;
0,28;0,051;10,40;1,52;
0,29;0,051;9,90;1,45;
0,29;0,052;9,40;1,37;
0,30;0,052;8,70;1,27;
0,31;0,053;9,30;1,36;
0,31;0,054;10,30;1,50;
