
Zeit;Weg;Kraft;Biegespannung;
s;mm;N;N/mm²;
0.89;0.132;1.00;0.15;
0.89;0.132;0.10;0.01;
0.90;0.133;0.70;0.10;
0.90;0.134;0.50;0.07;
0.91;0.134;0.20;0.03;
0.92;0.135;1.00;0.15;
0.92;0.136;0.80;0.12;
0.93;0.137;1.20;0.18;
0.93;0.137;1.70;0.25;
0.94;0.138;0.70;0.10;
0.94;0.139;0.30;0.04;
0.94;0.139;-0.60;-0.09;
0.95;0.140;-0.50;-0.07;
0.95;0.140;0.10;0.01;
0.96;0.141;0.90;0.13;
0.96;0.142;1.40;0.20;
0.97;0.142;1.20;0.18;
0.98;0.143;0.80;0.12;
0.98;0.144;0.50;0.07;
0.99;0.145;0.50;0.07;
0.99;0.145;-0.10;-0.01;
1.00;0.146;0.40;0.06;
1.00;0.147;-0.20;-0.03;
1.00;0.147;-0.10;-0.01;
1.01;0.148;0.30;0.04;
1.01;0.148;0.80;0.12;
1.02;0.149;0.90;0.13;
1.02;0.150;0.80;0.12;
1.03;0.150;0.70;0.10;
1.03;0.151;-0.20;-0.03;
1.04;0.152;-0.30;-0.04;
1.04;0.153;0.10;0.01;
1.05;0.153;0.70;0.10;
1.05;0.154;0.70;0.10;
1.06;0.154;0.30;0.04;
1.07;0.155;0.20;0.03;
1.07;0.156;-0.80;-0.12;
1.08;0.156;-0.20;-0.03;
1.08;0.157;0.10;0.01;
1.09;0.158;-0.10;-0.01;
1.09;0.159;0.20;0.03;
1.10;0.159;-0.60;-0.09;
1.10;0.160;-0.30;-0.04;
1.11;0.161;-0.20;-0.03;
1.11;0.161;0.50;0.07;
1.12;0.162;1.10;0.16;
1.12;0.162;1.20;0.18;
1.13;0.163;0.90;0.13;
1.13;0.164;-0.20;-0.03;
1.13;0.164;-1.00;-0.15;
1.14;0.165;-1.10;-0.16;
1.14;0.166;-0.60;-0.09;
1.15;0.167;0.10;0.01;
1.15;0.167;0.60;0.09;
1.16;0.168;0.60;0.09;
1.16;0.169;-0.00;-0.00;
1.17;0.169;0.50;0.07;
1.17;0.170;0.60;0.09;
1.18;0.170;0.20;0.03;
1.18;0.171;0.50;0.07;
1.19;0.172;-0.50;-0.07;
1.20;0.172;-0.60;-0.09;
