
Zeit;Weg;Kraft;Biegespannung;
s;mm;N;N/mm²;
0.00;0.013;11.50;1.68;
0.01;0.013;10.60;1.55;
0.01;0.014;10.70;1.56;
0.02;0.015;10.10;1.48;
0.03;0.015;9.20;1.34;
0.03;0.016;10.40;1.52;
0.04;0.017;10.00;1.46;
0.04;0.018;9.70;1.42;
0.05;0.019;10.00;1.46;
0.05;0.019;9.70;1.42;
0.05;0.020;10.00;1.46;
0.06;0.021;10.80;1.58;
0.06;0.022;11.20;1.64;
0.07;0.022;11.60;1.69;
0.08;0.023;11.40;1.67;
0.08;0.023;11.00;1.61;
0.09;0.024;10.90;1.59;
0.09;0.025;10.90;1.59;
0.09;0.025;10.90;1.59;
0.10;0.026;11.00;1.61;
0.10;0.027;11.20;1.64;
0.11;0.027;10.60;1.55;
0.12;0.028;10.80;1.58;
0.12;0.029;10.30;1.50;
0.13;0.030;9.90;1.45;
0.13;0.031;9.60;1.40;
0.14;0.031;9.30;1.36;
0.14;0.032;9.40;1.37;
0.14;0.032;9.00;1.31;
0.15;0.033;9.80;1.43;
0.16;0.034;10.60;1.55;
0.16;0.034;10.50;1.53;
0.17;0.035;10.70;1.56;
0.17;0.036;10.70;1.56;
0.17;0.036;10.30;1.50;
0.18;0.037;11.20;1.64;
0.19;0.038;11.10;1.62;
0.19;0.038;10.60;1.55;
0.19;0.039;10.40;1.52;
0.20;0.040;10.00;1.46;
0.20;0.041;10.50;1.53;
0.21;0.041;11.20;1.64;
0.22;0.042;11.10;1.62;
0.22;0.043;11.40;1.67;
0.22;0.043;11.90;1.74;
0.23;0.044;11.40;1.67;
0.23;0.045;12.50;1.83;
0.24;0.045;11.90;1.74;
0.25;0.046;10.90;1.59;
0.25;0.047;11.10;1.62;
0.25;0.047;10.00;1.46;
0.26;0.048;9.70;1.42;
0.26;0.049;10.40;1.52;
0.27;0.049;10.50;1.53;
0.28;0.050;11.20;1.64;
0.28;0.051;12.20;1.78;
0.28;0.051;12.20;1.78;
0.29;0.052;11.70;1.71;
0.29;0.052;11.90;1.74;
0.30;0.054;12.10;1.77;
0.31;0.054;11.80;1.72;
0.31;0.054;11.60;1.69;
0.31;0.056;10.90;1.59;
0.32;0.056;10.00;1.46;
0.32;0.056;10.00;1.46;
0.33;0.058;10.80;1.58;
0.34;0.058;10.90;1.59;
0.34;0.058;11.20;1.64;
0.34;0.060;11.00;1.61;
0.35;0.060;11.00;1.61;
0.35;0.060;11.60;1.69;
0.36;0.062;12.10;1.77;
0.37;0.062;12.70;1.86;
0.37;0.063;12.50;1.83;
0.38;0.064;11.90;1.74;
0.38;0.064;12.00;1.75;
0.38;0.064;11.70;1.71;
0.39;0.065;11.80;1.72;
0.40;0.066;12.00;1.75;
0.40;0.067;11.70;1.71;
0.41;0.068;12.10;1.77;
0.41;0.068;12.30;1.80;
0.41;0.068;12.90;1.88;
0.42;0.069;12.50;1.83;
0.43;0.070;12.60;1.84;
0.43;0.071;12.70;1.86;
0.44;0.072;12.70;1.86;
0.44;0.072;13.20;1.93;
0.44;0.072;13.50;1.97;
0.45;0.073;13.50;1.97;
0.46;0.074;13.10;1.91;
0.46;0.075;12.30;1.80;
0.47;0.075;11.90;1.74;
0.47;0.076;11.40;1.67;
0.47;0.076;10.90;1.59;
0.48;0.078;11.40;1.67;
0.49;0.078;11.50;1.68;
0.49;0.079;11.60;1.69;
0.50;0.079;12.00;1.75;
0.50;0.080;11.70;1.71;
0.50;0.080;10.90;1.59;
0.51;0.082;11.20;1.64;
0.51;0.082;11.00;1.61;
0.52;0.083;12.10;1.77;
0.52;0.083;12.70;1.86;
0.53;0.084;12.10;1.77;
0.54;0.084;11.70;1.71;
0.54;0.086;11.10;1.62;
0.55;0.086;11.40;1.67;
0.55;0.086;12.20;1.78;
0.56;0.087;13.00;1.90;
0.56;0.088;13.20;1.93;
0.56;0.089;13.00;1.90;
0.57;0.090;12.10;1.77;
0.57;0.090;12.10;1.77;
0.58;0.090;12.10;1.77;
0.58;0.091;12.50;1.83;
0.59;0.092;13.20;1.93;
0.60;0.093;13.20;1.93;
0.60;0.094;13.40;1.96;
0.61;0.094;12.90;1.88;
0.61;0.094;13.60;1.99;
0.62;0.095;13.50;1.97;
0.62;0.096;13.30;1.94;
0.63;0.097;13.50;1.97;
0.63;0.097;11.90;1.74;
0.63;0.098;11.70;1.71;
0.64;0.098;11.40;1.67;
0.64;0.100;11.40;1.67;
0.65;0.100;11.90;1.74;
0.65;0.101;12.10;1.77;
0.66;0.101;12.60;1.84;
0.67;0.102;13.00;1.90;
0.67;0.102;13.10;1.91;
0.68;0.104;13.20;1.93;
0.68;0.104;13.10;1.91;
0.69;0.105;13.10;1.91;
0.69;0.105;13.10;1.91;
0.69;0.106;13.40;1.96;
0.70;0.106;13.20;1.93;
0.70;0.108;12.60;1.84;
0.71;0.108;13.30;1.94;
0.71;0.108;13.40;1.96;
