
Zeit;Weg;Kraft;Biegespannung;
0.72;0.109;13.80;2.02;
0.73;0.110;14.30;2.09;
0.73;0.111;13.70;2.00;
0.74;0.112;13.90;2.03;
0.74;0.112;13.40;1.96;
0.75;0.112;13.30;1.94;
0.75;0.113;13.50;1.97;
0.75;0.114;12.70;1.86;
0.76;0.115;12.60;1.84;
0.76;0.116;13.00;1.90;
0.77;0.116;12.60;1.84;
0.77;0.116;12.90;1.88;
0.78;0.117;13.40;1.96;
0.79;0.118;13.20;1.93;
0.79;0.119;12.80;1.87;
0.80;0.119;12.20;1.78;
0.80;0.120;12.40;1.81;
0.81;0.120;12.60;1.84;
0.81;0.122;13.60;1.99;
0.81;0.122;14.00;2.05;
0.82;0.123;13.80;2.02;
0.82;0.123;13.80;2.02;
0.83;0.124;13.80;2.02;
0.83;0.124;13.80;2.02;
0.84;0.125;13.70;2.00;
0.85;0.126;13.90;2.03;
0.85;0.126;13.30;1.94;
0.86;0.127;13.00;1.90;
0.86;0.128;13.00;1.90;
0.87;0.128;12.60;1.84;
0.87;0.130;12.90;1.88;
0.88;0.130;13.40;1.96;
0.88;0.131;13.40;1.96;
0.88;0.131;13.70;2.00;
0.89;0.132;13.20;1.93;
0.89;0.132;13.60;1.99;
0.90;0.133;13.50;1.97;
0.90;0.134;12.70;1.86;
0.91;0.134;13.00;1.90;
0.92;0.135;13.10;1.91;
0.92;0.136;13.20;1.93;
0.93;0.137;14.30;2.09;
0.93;0.137;14.60;2.13;
0.94;0.138;14.40;2.10;
0.94;0.139;14.00;2.05;
0.94;0.139;12.90;1.88;
0.95;0.140;12.60;1.84;
0.95;0.140;11.90;1.74;
0.96;0.141;12.60;1.84;
0.96;0.142;12.90;1.88;
0.97;0.142;13.80;2.02;
0.98;0.143;14.00;2.05;
0.98;0.144;13.70;2.00;
0.99;0.145;14.20;2.07;
0.99;0.145;13.70;2.00;
1.00;0.146;14.20;2.07;
1.00;0.147;14.40;2.10;
1.00;0.147;14.80;2.16;
1.01;0.148;14.80;2.16;
1.01;0.148;15.00;2.19;
1.02;0.149;15.10;2.21;
1.02;0.150;14.90;2.18;
1.03;0.150;14.90;2.18;
1.03;0.151;14.50;2.12;
1.04;0.152;14.70;2.15;
1.04;0.153;14.50;2.12;
1.05;0.153;14.70;2.15;
1.05;0.154;14.90;2.18;
1.06;0.154;15.00;2.19;
1.07;0.155;14.50;2.12;
1.07;0.156;14.40;2.10;
1.08;0.156;14.70;2.15;
1.08;0.157;14.30;2.09;
1.09;0.158;14.80;2.16;
1.09;0.159;14.00;2.05;
1.10;0.159;13.70;2.00;
1.10;0.160;13.80;2.02;
1.11;0.161;13.80;2.02;
1.11;0.161;15.10;2.21;
1.12;0.162;15.20;2.22;
1.12;0.162;15.60;2.28;
1.13;0.163;15.40;2.25;
1.13;0.164;14.90;2.18;
1.13;0.164;15.20;2.22;
1.14;0.165;14.70;2.15;
1.14;0.166;15.30;2.24;
1.15;0.167;15.00;2.19;
1.15;0.167;14.60;2.13;
1.16;0.168;14.60;2.13;
1.16;0.169;14.60;2.13;
1.17;0.169;14.40;2.10;
1.17;0.170;14.40;2.10;
1.18;0.170;14.80;2.16;
1.18;0.171;14.90;2.18;
1.19;0.172;15.40;2.25;
1.20;0.172;15.20;2.22;
1.20;0.173;15.50;2.26;
1.21;0.174;15.30;2.24;
1.21;0.175;15.70;2.29;
1.22;0.175;16.30;2.38;
1.22;0.176;16.10;2.35;
1.23;0.176;15.90;2.32;
1.23;0.177;15.70;2.29;
1.24;0.178;15.20;2.22;
1.24;0.178;15.00;2.19;
1.25;0.179;15.10;2.21;
1.25;0.180;15.10;2.21;
1.25;0.181;15.30;2.24;
1.26;0.181;15.40;2.25;
1.26;0.182;15.30;2.24;
1.27;0.183;14.50;2.12;
1.27;0.183;14.50;2.12;
1.28;0.184;14.60;2.13;
1.28;0.184;14.00;2.05;
1.29;0.185;14.50;2.12;
1.29;0.186;14.50;2.12;
1.30;0.186;14.50;2.12;
1.30;0.187;15.70;2.29;
1.31;0.188;15.60;2.28;
1.32;0.189;15.20;2.22;
1.32;0.189;15.30;2.24;
1.33;0.190;15.20;2.22;
1.33;0.191;15.40;2.25;
1.34;0.191;15.40;2.25;
1.34;0.192;15.30;2.24;
1.35;0.192;14.00;2.05;
1.35;0.193;14.60;2.13;
1.36;0.194;15.10;2.21;
1.36;0.194;14.70;2.15;
1.37;0.195;15.30;2.24;
1.37;0.196;15.10;2.21;
1.38;0.197;15.10;2.21;
1.38;0.197;15.60;2.28;
1.38;0.198;16.00;2.34;
1.39;0.199;15.30;2.24;
1.39;0.199;15.00;2.19;
1.40;0.200;14.80;2.16;
1.40;0.200;15.00;2.19;
1.41;0.201;14.80;2.16;
1.41;0.202;15.00;2.19;
1.42;0.203;15.00;2.19;
1.42;0.203;14.60;2.13;
1.43;0.204;15.00;2.19;
1.43;0.205;14.80;2.16;
1.44;0.205;14.80;2.16;
1.45;0.206;14.70;2.15;
1.45;0.206;15.20;2.22;
1.46;0.207;15.50;2.26;
1.46;0.208;15.30;2.24;
1.47;0.208;15.80;2.31;
1.47;0.209;15.30;2.24;
1.48;0.210;15.20;2.22;
1.48;0.211;15.60;2.28;
1.49;0.211;15.70;2.29;
1.49;0.212;15.60;2.28;
1.50;0.213;16.10;2.35;
1.50;0.213;16.60;2.43;
1.50;0.214;16.50;2.41;
1.51;0.214;16.30;2.38;
1.51;0.215;16.10;2.35;
1.52;0.216;15.00;2.19;
1.52;0.216;14.90;2.18;
1.53;0.217;15.40;2.25;
1.53;0.218;15.00;2.19;
1.54;0.219;15.50;2.26;
1.54;0.219;15.10;2.21;
1.55;0.220;15.30;2.24;
1.55;0.221;15.40;2.25;
1.56;0.221;15.80;2.31;
1.57;0.222;16.20;2.37;
1.57;0.222;15.80;2.31;
1.58;0.223;15.90;2.32;
1.58;0.224;15.80;2.31;
1.59;0.225;15.30;2.24;
1.59;0.225;15.60;2.28;
1.60;0.226;15.30;2.24;
1.60;0.227;15.20;2.22;
1.61;0.227;15.80;2.31;
1.61;0.228;15.80;2.31;
1.62;0.228;15.60;2.28;
1.62;0.229;16.00;2.34;
1.63;0.230;16.10;2.35;
1.63;0.230;15.90;2.32;
1.63;0.231;16.80;2.45;
1.64;0.232;16.70;2.44;
1.64;0.233;16.70;2.44;
1.65;0.233;17.20;2.51;
1.65;0.234;16.60;2.43;
1.66;0.235;16.60;2.43;
1.66;0.235;16.40;2.40;
1.67;0.236;16.60;2.43;
1.67;0.236;16.80;2.45;
1.68;0.237;16.30;2.38;
1.68;0.238;16.60;2.43;
1.69;0.238;16.10;2.35;
1.70;0.240;16.40;2.40;
1.70;0.240;16.50;2.41;
1.71;0.241;17.10;2.50;
1.71;0.242;17.60;2.57;
1.72;0.242;17.60;2.57;
1.72;0.243;17.50;2.56;
1.73;0.243;17.00;2.48;
1.73;0.244;16.70;2.44;
1.74;0.244;17.00;2.48;
1.74;0.245;17.60;2.57;
1.75;0.246;17.70;2.59;
1.75;0.247;18.20;2.66;
1.75;0.248;17.20;2.51;
1.76;0.248;17.00;2.48;
1.76;0.249;16.60;2.43;
1.77;0.250;15.80;2.31;
1.77;0.250;16.40;2.40;
1.78;0.250;16.40;2.40;
1.78;0.252;16.80;2.45;
1.79;0.252;17.30;2.53;
1.79;0.252;17.30;2.53;
1.80;0.254;17.70;2.59;
1.80;0.254;17.20;2.51;
1.81;0.255;17.10;2.50;
1.82;0.255;17.60;2.57;
1.82;0.256;17.60;2.57;
1.83;0.257;17.40;2.54;
1.83;0.257;17.70;2.59;
1.84;0.258;17.50;2.56;
1.84;0.259;17.10;2.50;
1.85;0.259;17.30;2.53;
1.85;0.260;16.50;2.41;
1.86;0.261;16.40;2.40;
1.86;0.262;16.90;2.47;
1.87;0.262;17.10;2.50;
1.87;0.262;17.80;2.60;
1.88;0.264;18.00;2.63;
1.88;0.264;17.80;2.60;
1.88;0.264;17.90;2.62;
1.89;0.266;17.60;2.57;
1.89;0.266;17.60;2.57;
1.90;0.266;16.90;2.47;
1.90;0.268;17.10;2.50;
1.91;0.268;17.20;2.51;
1.91;0.269;17.20;2.51;
1.92;0.269;17.60;2.57;
1.92;0.270;17.20;2.51;
1.93;0.271;17.10;2.50;
1.93;0.271;17.20;2.51;
1.94;0.272;17.10;2.50;
1.95;0.273;17.50;2.56;
1.95;0.273;16.50;2.41;
1.96;0.274;16.30;2.38;
1.96;0.275;17.00;2.48;
1.97;0.275;16.90;2.47;
1.97;0.276;17.40;2.54;
1.98;0.276;17.20;2.51;
1.98;0.278;17.20;2.51;
1.99;0.278;16.90;2.47;
1.99;0.278;17.70;2.59;
2.00;0.280;18.20;2.66;
2.00;0.280;18.20;2.66;
2.01;0.280;19.50;2.85;
2.01;0.282;18.90;2.76;
2.02;0.282;19.10;2.79;
2.02;0.282;18.80;2.75;
2.03;0.283;18.50;2.70;
2.03;0.284;18.30;2.67;
2.04;0.285;18.20;2.66;
2.04;0.285;18.60;2.72;
2.05;0.286;17.90;2.62;
2.05;0.287;18.10;2.64;
2.06;0.287;18.20;2.66;
2.06;0.288;17.20;2.51;
2.07;0.289;18.10;2.64;
2.07;0.289;18.60;2.72;
2.08;0.290;18.30;2.67;
2.08;0.290;18.80;2.75;
2.09;0.292;18.60;2.72;
2.09;0.292;18.30;2.67;
2.10;0.292;18.50;2.70;
2.10;0.294;18.90;2.76;
2.11;0.294;18.70;2.73;
2.11;0.294;18.70;2.73;
2.12;0.296;19.10;2.79;
2.12;0.296;19.00;2.78;
2.13;0.296;19.70;2.88;
2.13;0.298;20.00;2.92;
2.13;0.298;19.60;2.86;
2.14;0.299;19.70;2.88;
2.14;0.299;19.60;2.86;
2.15;0.300;19.30;2.82;
2.15;0.301;18.80;2.75;
2.16;0.301;18.80;2.75;
2.16;0.302;18.70;2.73;
2.17;0.303;19.10;2.79;
2.17;0.303;19.80;2.89;
2.18;0.304;19.30;2.82;
2.18;0.305;19.20;2.80;
2.19;0.306;19.30;2.82;
2.19;0.306;19.40;2.83;
2.20;0.306;19.70;2.88;
2.20;0.308;19.60;2.86;
2.21;0.308;18.70;2.73;
2.21;0.309;18.30;2.67;
2.22;0.310;18.30;2.67;
2.22;0.310;18.10;2.64;
2.23;0.310;18.60;2.72;
2.23;0.312;18.90;2.76;
2.24;0.312;18.50;2.70;
2.24;0.313;18.10;2.64;
2.25;0.313;17.90;2.62;
2.26;0.314;18.10;2.64;
2.26;0.315;18.50;2.70;
2.27;0.315;19.30;2.82;
2.27;0.316;19.60;2.86;
2.28;0.317;18.60;2.72;
2.28;0.317;18.60;2.72;
2.29;0.318;18.80;2.75;
2.29;0.319;19.00;2.78;
2.30;0.319;19.60;2.86;
2.30;0.320;19.60;2.86;
2.31;0.320;19.20;2.80;
2.31;0.322;18.90;2.76;
2.32;0.322;19.10;2.79;
2.32;0.322;19.30;2.82;
2.33;0.324;19.80;2.89;
2.33;0.324;20.10;2.94;
2.34;0.325;20.60;3.01;
2.34;0.326;20.50;2.99;
2.35;0.326;20.10;2.94;
2.35;0.327;20.00;2.92;
2.36;0.327;19.90;2.91;
2.36;0.328;19.60;2.86;
2.37;0.329;19.70;2.88;
2.37;0.329;19.90;2.91;
2.38;0.330;19.30;2.82;
2.38;0.331;19.10;2.79;
2.38;0.331;19.00;2.78;
2.39;0.332;19.20;2.80;
2.39;0.333;19.10;2.79;
2.40;0.333;19.30;2.82;
2.40;0.334;19.00;2.78;
2.41;0.335;18.80;2.75;
2.41;0.336;18.60;2.72;
2.42;0.336;18.80;2.75;
2.42;0.336;18.90;2.76;
2.43;0.338;19.30;2.82;
2.43;0.338;18.90;2.76;
2.44;0.338;19.40;2.83;
2.44;0.340;19.60;2.86;
2.45;0.340;19.60;2.86;
2.45;0.340;20.40;2.98;
2.46;0.342;20.00;2.92;
2.46;0.342;20.00;2.92;
2.47;0.343;20.10;2.94;
2.47;0.343;20.00;2.92;
2.48;0.344;19.90;2.91;
2.48;0.345;19.70;2.88;
2.49;0.345;19.80;2.89;
2.49;0.346;19.50;2.85;
2.50;0.347;19.70;2.88;
2.51;0.347;20.10;2.94;
2.51;0.348;20.20;2.95;
2.52;0.349;20.10;2.94;
2.52;0.350;19.50;2.85;
2.53;0.350;19.50;2.85;
2.53;0.350;19.20;2.80;
2.54;0.352;19.90;2.91;
2.54;0.352;20.00;2.92;
2.55;0.352;20.20;2.95;
2.55;0.354;20.20;2.95;
2.56;0.354;19.50;2.85;
2.56;0.354;19.40;2.83;
2.57;0.356;19.50;2.85;
2.57;0.356;19.60;2.86;
2.58;0.356;20.10;2.94;
2.58;0.357;20.60;3.01;
2.59;0.358;20.50;2.99;
2.59;0.359;20.30;2.97;
2.60;0.359;19.90;2.91;
2.60;0.360;20.30;2.97;
2.61;0.361;19.80;2.89;
2.61;0.361;19.50;2.85;
2.62;0.362;20.10;2.94;
2.62;0.363;19.60;2.86;
2.63;0.363;19.70;2.88;
2.63;0.364;20.10;2.94;
2.63;0.364;20.60;3.01;
2.64;0.366;20.70;3.02;
2.64;0.366;20.90;3.05;
2.65;0.366;20.90;3.05;
2.65;0.368;20.40;2.98;
2.66;0.368;20.80;3.04;
2.66;0.369;21.10;3.08;
2.67;0.370;20.80;3.04;
2.67;0.370;20.80;3.04;
2.68;0.370;20.50;2.99;
2.68;0.371;20.20;2.95;
2.69;0.372;20.10;2.94;
2.69;0.373;20.30;2.97;
2.70;0.373;20.40;2.98;
2.70;0.374;20.80;3.04;
2.71;0.375;20.70;3.02;
2.71;0.375;21.00;3.07;
2.72;0.376;20.90;3.05;
2.72;0.377;20.40;2.98;
2.73;0.377;21.40;3.13;
2.73;0.378;20.80;3.04;
2.74;0.379;21.20;3.10;
2.74;0.380;22.30;3.26;
2.75;0.380;21.40;3.13;
2.76;0.380;21.70;3.17;
2.76;0.382;20.90;3.05;
2.77;0.382;20.10;2.94;
2.77;0.382;20.20;2.95;
2.78;0.384;19.10;2.79;
2.78;0.384;19.10;2.79;
2.79;0.384;18.80;2.75;
2.79;0.386;18.90;2.76;
2.80;0.386;20.10;2.94;
2.80;0.387;20.20;2.95;
2.81;0.387;20.90;3.05;
2.81;0.388;21.10;3.08;
2.82;0.389;21.90;3.20;
2.82;0.389;22.00;3.21;
2.83;0.390;21.50;3.14;
2.83;0.391;21.40;3.13;
2.84;0.391;20.40;2.98;
2.84;0.392;21.00;3.07;
2.85;0.393;21.60;3.16;
2.85;0.393;21.90;3.20;
2.86;0.394;22.60;3.30;
2.86;0.394;22.60;3.30;
2.87;0.395;22.50;3.29;
2.87;0.396;22.20;3.24;
2.88;0.396;21.40;3.13;
2.88;0.397;21.50;3.14;
2.88;0.398;21.10;3.08;
2.89;0.398;21.00;3.07;
2.89;0.399;21.80;3.18;
2.90;0.400;21.20;3.10;
2.90;0.400;21.90;3.20;
2.91;0.401;22.40;3.27;
2.91;0.402;21.80;3.18;
2.92;0.403;22.60;3.30;
2.92;0.403;21.80;3.18;
2.93;0.404;21.10;3.08;
2.93;0.405;20.90;3.05;
2.94;0.405;20.90;3.05;
2.94;0.406;21.30;3.11;
2.95;0.407;21.80;3.18;
2.95;0.407;22.10;3.23;
2.96;0.408;21.70;3.17;
2.96;0.408;21.70;3.17;
2.97;0.409;21.10;3.08;
2.97;0.410;20.80;3.04;
2.98;0.410;20.50;2.99;
2.98;0.411;20.20;2.95;
2.99;0.412;20.90;3.05;
2.99;0.412;21.90;3.20;
3.00;0.413;22.60;3.30;
3.01;0.414;23.10;3.37;
3.01;0.414;22.70;3.32;
3.02;0.415;22.70;3.32;
3.02;0.416;22.50;3.29;
3.03;0.417;22.10;3.23;
3.03;0.417;22.80;3.33;
3.04;0.418;22.30;3.26;
3.04;0.419;21.80;3.18;
3.05;0.419;21.80;3.18;
3.05;0.420;21.60;3.16;
3.06;0.421;21.00;3.07;
3.06;0.421;21.20;3.10;
3.07;0.422;21.20;3.10;
3.07;0.423;21.00;3.07;
3.08;0.423;21.90;3.20;
3.08;0.424;22.20;3.24;
3.09;0.424;22.50;3.29;
3.09;0.425;22.10;3.23;
3.10;0.426;22.00;3.21;
3.10;0.426;22.00;3.21;
3.11;0.427;21.90;3.20;
3.11;0.428;21.80;3.18;
3.12;0.428;21.30;3.11;
3.12;0.429;21.50;3.14;
3.13;0.430;21.60;3.16;
3.13;0.431;22.10;3.23;
3.13;0.431;22.60;3.30;
3.14;0.432;22.30;3.26;
3.14;0.433;22.00;3.21;
3.15;0.433;21.70;3.17;
3.15;0.434;21.20;3.10;
3.16;0.435;21.40;3.13;
3.16;0.435;21.50;3.14;
3.17;0.436;21.50;3.14;
3.17;0.437;22.10;3.23;
3.18;0.437;22.80;3.33;
3.18;0.438;23.30;3.40;
3.19;0.438;24.00;3.51;
3.19;0.439;23.60;3.45;
3.20;0.440;22.60;3.30;
3.20;0.440;21.40;3.13;
3.21;0.441;21.50;3.14;
3.21;0.442;21.50;3.14;
3.22;0.442;22.00;3.21;
3.22;0.443;23.00;3.36;
3.23;0.444;23.20;3.39;
3.23;0.444;23.10;3.37;
3.24;0.445;23.80;3.48;
3.24;0.446;23.60;3.45;
3.25;0.447;23.10;3.37;
3.26;0.447;23.40;3.42;
3.26;0.448;22.60;3.30;
3.27;0.449;23.20;3.39;
3.27;0.449;23.40;3.42;
3.28;0.450;23.70;3.46;
3.28;0.451;23.80;3.48;
3.29;0.451;23.80;3.48;
3.29;0.452;23.50;3.43;
3.30;0.452;22.50;3.29;
3.30;0.453;22.40;3.27;
3.31;0.454;22.70;3.32;
3.31;0.454;22.80;3.33;
3.32;0.455;23.30;3.40;
3.32;0.456;23.80;3.48;
3.33;0.456;23.70;3.46;
3.33;0.457;23.90;3.49;
3.34;0.458;23.70;3.46;
3.34;0.458;23.60;3.45;
3.35;0.459;22.90;3.35;
3.35;0.460;22.80;3.33;
3.36;0.461;22.80;3.33;
3.36;0.461;22.40;3.27;
3.37;0.462;22.40;3.27;
3.37;0.463;22.40;3.27;
3.38;0.463;22.80;3.33;
3.38;0.464;22.40;3.27;
3.38;0.465;23.30;3.40;
3.39;0.465;23.10;3.37;
3.39;0.466;22.90;3.35;
3.40;0.467;23.50;3.43;
3.40;0.467;23.20;3.39;
3.41;0.468;23.60;3.45;
3.41;0.468;24.10;3.52;
3.42;0.469;23.50;3.43;
3.42;0.470;23.10;3.37;
3.43;0.470;22.80;3.33;
3.43;0.471;22.30;3.26;
3.44;0.472;22.70;3.32;
3.44;0.472;23.20;3.39;
3.45;0.473;24.00;3.51;
3.45;0.474;24.60;3.59;
3.46;0.475;24.40;3.56;
3.46;0.475;24.00;3.51;
3.47;0.476;23.40;3.42;
3.47;0.477;22.50;3.29;
3.48;0.477;22.70;3.32;
3.48;0.478;23.00;3.36;
3.49;0.479;23.30;3.40;
3.49;0.479;24.10;3.52;
3.50;0.480;24.70;3.61;
3.51;0.481;24.40;3.56;
3.51;0.481;24.40;3.56;
3.52;0.482;24.10;3.52;
3.52;0.482;23.20;3.39;
3.53;0.484;23.10;3.37;
3.53;0.484;22.60;3.30;
3.54;0.484;23.40;3.42;
3.54;0.486;23.20;3.39;
3.55;0.486;23.50;3.43;
3.55;0.486;23.50;3.43;
3.56;0.488;23.20;3.39;
3.56;0.488;24.10;3.52;
3.57;0.488;23.90;3.49;
3.57;0.489;24.00;3.51;
3.58;0.490;24.20;3.54;
3.58;0.491;23.70;3.46;
3.59;0.491;23.90;3.49;
3.59;0.492;24.30;3.55;
3.60;0.493;22.90;3.35;
3.60;0.493;23.40;3.42;
3.61;0.494;23.40;3.42;
3.61;0.495;23.60;3.45;
3.62;0.495;24.60;3.59;
3.62;0.496;24.50;3.58;
3.63;0.496;24.60;3.59;
3.63;0.498;24.40;3.56;
3.63;0.498;25.00;3.65;
3.64;0.498;24.70;3.61;
3.64;0.500;24.90;3.64;
3.65;0.500;24.50;3.58;
3.65;0.501;24.20;3.54;
3.66;0.502;24.40;3.56;
3.66;0.502;23.60;3.45;
3.67;0.502;23.90;3.49;
3.67;0.503;23.90;3.49;
3.68;0.504;24.60;3.59;
3.68;0.504;25.20;3.68;
3.69;0.506;25.30;3.70;
3.69;0.506;25.30;3.70;
3.70;0.507;24.20;3.54;
3.70;0.507;24.20;3.54;
3.71;0.508;23.90;3.49;
3.71;0.508;23.60;3.45;
3.72;0.510;23.90;3.49;
3.72;0.510;24.10;3.52;
3.73;0.511;24.20;3.54;
3.73;0.512;23.60;3.45;
3.74;0.512;23.20;3.39;
3.74;0.512;23.50;3.43;
3.75;0.513;23.90;3.49;
3.76;0.514;24.10;3.52;
3.76;0.515;24.90;3.64;
3.77;0.516;24.50;3.58;
3.77;0.516;24.50;3.58;
3.78;0.516;24.80;3.62;
3.78;0.517;24.20;3.54;
3.79;0.518;24.40;3.56;
3.79;0.518;24.30;3.55;
3.80;0.520;24.10;3.52;
3.80;0.520;24.30;3.55;
3.81;0.521;23.90;3.49;
3.81;0.521;23.70;3.46;
3.82;0.522;24.30;3.55;
3.82;0.522;24.80;3.62;
3.83;0.524;25.10;3.67;
3.83;0.524;25.00;3.65;
3.84;0.525;24.50;3.58;
3.84;0.525;24.00;3.51;
3.85;0.526;24.00;3.51;
3.85;0.526;24.60;3.59;
3.86;0.527;24.70;3.61;
3.86;0.528;25.50;3.73;
3.87;0.529;25.80;3.77;
3.87;0.530;25.30;3.70;
3.88;0.530;25.80;3.77;
3.88;0.530;25.50;3.73;
3.88;0.531;24.30;3.55;
3.89;0.532;25.00;3.65;
3.89;0.533;24.80;3.62;
3.90;0.534;24.80;3.62;
3.90;0.534;25.90;3.78;
3.91;0.535;25.40;3.71;
3.91;0.535;25.90;3.78;
3.92;0.536;25.90;3.78;
3.92;0.536;25.50;3.73;
3.93;0.538;25.50;3.73;
3.93;0.538;24.90;3.64;
3.94;0.539;24.50;3.58;
3.94;0.539;24.90;3.64;
3.95;0.540;24.80;3.62;
3.95;0.540;25.40;3.71;
3.96;0.541;25.60;3.74;
3.96;0.542;25.30;3.70;
3.97;0.543;25.20;3.68;
3.97;0.544;25.60;3.74;
3.98;0.544;25.10;3.67;
3.98;0.544;25.40;3.71;
3.99;0.545;25.60;3.74;
3.99;0.546;24.40;3.56;
4.00;0.547;25.30;3.70;
4.01;0.548;25.40;3.71;
4.01;0.548;25.10;3.67;
4.01;0.549;25.80;3.77;
4.02;0.549;25.60;3.74;
4.03;0.550;25.50;3.73;
4.03;0.550;26.40;3.86;
4.03;0.552;25.80;3.77;
4.04;0.552;25.80;3.77;
4.05;0.553;26.30;3.84;
4.05;0.553;25.90;3.78;
4.05;0.554;26.50;3.87;
4.06;0.554;26.30;3.84;
4.07;0.555;25.00;3.65;
4.07;0.556;24.70;3.61;
4.07;0.557;24.10;3.52;
4.08;0.558;24.50;3.58;
4.09;0.558;24.90;3.64;
4.09;0.558;25.50;3.73;
4.09;0.559;26.40;3.86;
